sp_id	sp_hh_id	age	sex	race	relate	school_id	work_id
164172477	56089539	51	M	1	0	X	517507179
164172478	56089539	50	F	1	1	X	X
164172496	56090007	50	F	1	1	X	X
164172497	56090007	23	F	1	2	X	X
164172523	56089664	50	F	1	1	X	X
164172537	56091527	51	M	1	0	X	517506256
164632760	56088964	52	M	1	0	X	517508002
164632761	56088964	49	F	1	1	X	517507212
164632794	56090247	52	M	1	0	X	517507680
164632795	56090247	49	F	1	1	X	517507431
164645649	56088326	11	F	1	2	450093610	X
164645650	56088326	10	F	1	2	450093610	X
164645651	56088326	45	M	1	0	X	517508792
164645657	56090802	11	F	1	2	450101788	X
164645661	56091808	11	F	1	2	450101788	X
164645662	56091808	10	F	1	2	450088468	X
164645663	56091808	45	M	1	0	X	517506451
164645664	56091808	29	F	1	1	X	517506451
164645669	56088919	11	F	1	2	450093610	X
164645670	56088919	10	F	1	2	450093610	X
164645671	56088919	45	M	1	0	X	517507213
164645682	56090541	10	F	1	2	450088468	X
164645686	56089838	10	F	1	2	450093610	X
164645688	56089838	29	F	1	1	X	517508082
164739212	56090579	48	F	1	0	X	517376519
164739214	56090579	18	M	1	2	450097562	X
164935667	56091165	2	M	1	2	X	X
165168790	56089812	27	F	1	0	X	517508804
165168791	56089812	36	F	1	9	X	517508166
165529864	56091400	29	M	1	1	X	X
165529865	56091400	2	M	1	2	X	X
165600289	56093427	10	F	1	2	450097561	X
165600291	56093427	5	F	1	2	450097561	X
165600304	56089210	10	F	1	2	450093610	X
165600305	56089210	8	M	1	2	450093610	X
165600306	56089210	5	F	1	2	450088468	X
165600308	56089210	5	F	1	2	450088468	X
165600309	56091858	10	F	1	2	450088468	X
165600310	56091858	8	M	1	2	450088468	X
165600311	56091858	5	F	1	2	450088468	X
165669049	56089479	27	M	1	0	X	517508727
165669085	56094090	27	M	1	0	X	517423759
165669089	56091477	27	M	1	0	X	517506451
165669091	56092531	27	M	1	0	X	517432368
165707538	56093299	73	M	1	0	X	517423767
165831010	56088438	36	M	1	0	X	517508871
165831011	56088438	35	F	1	1	X	517506262
165831034	56087904	36	M	1	0	X	517507220
165831035	56087904	35	F	1	1	X	517662850
165831036	56087904	13	M	1	2	450093610	X
165852057	56091277	1	F	1	2	X	X
165852058	56091277	4	F	1	2	X	X
165852059	56091277	27	F	1	0	X	517506332
165852076	56091393	29	M	1	1	X	517423584
165852078	56091393	4	F	1	2	X	X
165852079	56091393	27	F	1	0	X	517506451
165982651	56093914	14	M	1	2	450067304	X
166042878	56087882	73	M	1	0	X	X
166042879	56087882	62	F	1	1	X	X
166263825	56092271	60	M	1	0	X	X
166263826	56093182	60	M	1	0	X	X
166278481	56091333	5	F	1	2	450066968	X
166278482	56091333	39	F	1	0	X	X
166278483	56091333	38	M	1	1	X	517506451
166278485	56091333	17	M	1	2	450097562	517506438
166278537	56091037	39	F	1	0	X	X
166278538	56091037	38	M	1	1	X	517376524
166278539	56091037	14	F	1	2	450097562	X
166278540	56091037	17	M	1	2	450097562	517506396
166278601	56088174	5	F	1	2	450066968	X
166278602	56088174	39	F	1	0	X	X
166278604	56088174	14	F	1	2	450097562	X
166278605	56088174	17	M	1	2	450097562	517506380
166278609	56087841	14	F	1	2	450097562	X
166278611	56092183	5	F	1	2	450066968	X
166278612	56092183	39	F	1	0	X	X
166278615	56092183	17	M	1	2	450097562	517506451
166278637	56091145	39	F	1	0	X	X
166278692	56089541	39	F	1	0	X	X
166278694	56089541	14	F	1	2	450097562	X
166278695	56089541	17	M	1	2	450097562	517508242
166278746	56090203	5	F	1	2	450066968	X
166278747	56090203	39	F	1	0	X	X
166278750	56090203	17	M	1	2	450097562	517506715
166278768	56091258	38	M	1	1	X	517506364
166278769	56091258	14	F	1	2	450097562	X
166302622	56090987	58	F	1	0	X	X
166674234	56089219	53	F	1	0	X	517507424
166674242	56088758	53	F	1	0	X	517506680
166674265	56092576	53	F	1	0	X	517432484
166744591	56089300	3	M	1	2	X	X
166744593	56090036	3	M	1	2	X	X
166744594	56090036	48	M	1	0	X	517508357
166744603	56093311	3	M	1	2	X	X
166744604	56093311	48	M	1	0	X	517423669
166744614	56088870	48	M	1	0	X	517507179
166744621	56092725	3	M	1	2	X	X
166744625	56088875	3	M	1	2	X	X
166744632	56092791	48	M	1	0	X	517432368
166788093	56093483	52	M	1	12	X	517423759
166788094	56093483	57	F	1	1	X	517423815
166788099	56090417	63	M	1	0	X	517507580
166788100	56090417	29	M	1	12	X	X
166788102	56090417	57	F	1	1	X	517662850
166788115	56093376	63	M	1	0	X	517423640
166788116	56093376	29	M	1	12	X	X
166788117	56093376	52	M	1	12	X	517423718
166788123	56093548	63	M	1	0	X	517423723
166788124	56093548	29	M	1	12	X	X
166788125	56093548	52	M	1	12	X	517423821
166788175	56091267	63	M	1	0	X	517506422
166788176	56091267	29	M	1	12	X	X
166788177	56091267	52	M	1	12	X	517506683
166788226	56093316	57	F	1	1	X	517423832
166788230	56093533	57	F	1	1	X	517432368
166788248	56090852	29	M	1	12	X	X
166788250	56090852	57	F	1	1	X	517506451
166788275	56094005	63	M	1	0	X	517423593
166788276	56094005	29	M	1	12	X	X
166788288	56089395	29	M	1	12	X	X
166788290	56089395	57	F	1	1	X	517508775
166788303	56091009	63	M	1	0	X	517506451
166788306	56091009	57	F	1	1	X	517506380
166994945	56090557	46	F	1	1	X	517506451
166994946	56090557	14	M	1	2	450097562	X
167252112	56092698	20	F	1	5	X	X
167252114	56090569	4	F	1	5	450094430	X
167252115	56090569	20	F	1	5	X	X
167252116	56090569	55	F	1	0	X	517506238
167343426	56088622	0	M	1	5	X	X
167343429	56088622	8	F	1	2	450093610	X
167343430	56088622	14	F	1	2	450093610	X
167343431	56088622	20	F	1	2	X	X
167343432	56088622	47	M	1	1	X	X
167343434	56088622	7	M	1	7	450088468	X
167343437	56091025	0	M	1	5	X	X
167343439	56091025	6	M	1	2	450088468	X
167343440	56091025	8	F	1	2	450088468	X
167343441	56091025	14	F	1	2	450101788	X
167343442	56091025	20	F	1	2	X	X
167343445	56091025	7	M	1	7	450088468	X
167343468	56091208	2	M	1	7	X	X
167343469	56091208	16	F	1	7	450097562	X
167343470	56091208	0	M	1	5	X	X
167343471	56091208	41	F	1	3	X	X
167343472	56091208	6	M	1	2	450088468	X
167343473	56091208	8	F	1	2	450088468	X
167343491	56090076	16	F	1	7	450097562	X
167343492	56090076	0	M	1	5	X	X
167343493	56090076	41	F	1	3	X	X
167343495	56090076	8	F	1	2	450093610	X
167343503	56091207	0	M	1	5	X	X
167343505	56091207	6	M	1	2	450088468	X
167343508	56091207	20	F	1	2	X	X
167343578	56091362	2	M	1	7	X	X
167343583	56091362	8	F	1	2	450088468	X
167343584	56091362	14	F	1	2	450101788	X
167343585	56091362	20	F	1	2	X	X
167343613	56091810	0	M	1	5	X	X
167343614	56091810	41	F	1	3	X	X
167343615	56091810	6	M	1	2	450088468	X
167343618	56091810	20	F	1	2	X	X
167343619	56091810	47	M	1	1	X	X
167343644	56090273	2	M	1	7	X	X
167343645	56090273	16	F	1	7	450097562	X
167343647	56090273	41	F	1	3	X	X
