sp_id	stco	latitude	longitude
450102823	56005	44.264503	-105.529981
450057225	56005	44.2891214	-105.4450108
450104439	56005	44.278233	-105.208923
450063600	25027	0.0000000	0.0000000
450099596	56005	44.288319	-105.491942
450091948	56005	43.753943	-105.491977
450099883	56025	43.410152	-106.273022
450088281	56005	43.960266	-105.734846
450101873	56005	44.269251	-105.517863
450104523	56005	44.269522	-105.518675
450103764	56005	44.390575	-105.539298
450058801	56005	44.2853607	-105.4791654
450067304	25025	0.0000000	0.0000000
450095942	56005	44.281899	-105.478879
450098566	56005	44.851266	-105.371316
450097972	56005	44.298149	-105.498693
450090567	56005	44.281845	-105.489541
450091814	56005	44.232123	-105.435938
450103801	56005	44.743764	-105.722766
450066968	23015	0.0000000	0.0000000
450102752	56005	44.28992	-105.54867
