sp_id	latitude	longitude
517662882	43.5224639	-110.8489489
517508421	43.4766236	-110.7506491
517506829	42.8959945	-109.9069080
517508692	43.4771636	-110.7612091
517508019	43.4744246	-110.7813031
506979952	43.8103736	-111.1657370
517507545	43.4676336	-110.8061191
517507552	43.4653136	-110.7942491
517508348	43.4766236	-110.7482491
517507358	43.4653546	-110.7959191
517508634	43.4285336	-110.7786291
506979625	43.7258167	-111.1058945
517508293	43.4844236	-110.7641691
517508515	43.4799536	-110.7581591
517507560	43.4743336	-110.7869191
517663251	43.5312936	-110.8417191
506878776	41.9837221	-87.6684352
517508806	43.4736536	-110.7843291
517662738	43.8384675	-110.4433071
517508134	43.4730373	-110.7697172
517662695	43.5741856	-110.7563791
506979576	43.5835786	-111.1064110
517508381	43.4805436	-110.7642091
517507279	43.4551136	-110.8272961
517663261	43.5300836	-110.8428891
514185544	40.8807720	-81.5289272
506879300	41.9901411	-87.6674942
517663120	43.5716236	-110.7605191
506980731	43.6009136	-111.1291890
517508588	43.4807336	-110.7620291
506980676	43.6033936	-111.1171590
517507486	43.4702565	-110.7859762
517508493	43.4793236	-110.7625591
506979967	43.5740296	-111.1082380
517663124	43.5600936	-110.7693191
501427989	34.4113352	-119.6972685
517507831	43.4608636	-110.8039691
517507699	43.4155036	-110.7860791
501427832	34.4097752	-119.6931185
517508307	43.4800236	-110.7576291
517508661	43.4800236	-110.7576291
517508397	43.4792536	-110.7594691
517508796	43.4781236	-110.7713691
517663095	43.5189636	-110.7492091
517508837	43.4788036	-110.7669291
517507382	43.5012846	-110.8477541
510063148	47.4944332	-111.2632082
517663104	43.5958236	-110.7558191
517508480	43.4767136	-110.7657491
517508180	43.4799536	-110.7599291
517508333	43.4788936	-110.7592391
517508547	43.4751836	-110.7591091
506979609	43.7258167	-111.1058945
517507740	43.4444536	-110.8182491
517507650	43.4339536	-110.8005291
517508501	43.4697536	-110.7833091
503066940	39.7658836	-105.0060809
517507323	43.4653546	-110.7959191
517508088	43.4771566	-110.7721721
517507854	43.4909336	-110.8605991
506979804	43.7244376	-111.1127860
517508589	43.4798836	-110.7627191
