sp_id	stco	latitude	longitude
450096761	56039	43.481867	-110.757128
450100228	56039	43.8416	-110.50744
450063600	25027	0.0000000	0.0000000
450096777	56039	43.458381	-110.807374
450097548	56039	43.621818	-110.624344
450058646	56039	43.4702600	-110.7859900
450058645	56039	43.4597126	-110.8126863
450091718	56039	43.458417	-110.801009
450088673	56039	43.755564	-111.034912
450094430	56013	42.997418	-108.85941
450067304	25025	0.0000000	0.0000000
450096778	56039	43.465596	-110.795601
450058854	56039	43.4910900	-110.8101771
450066968	23015	0.0000000	0.0000000
