sp_id	latitude	longitude
517661810	44.0124903	-107.9484656
517661517	43.7871834	-107.3233692
517665019	44.0352922	-107.4512857
517662039	43.9867283	-107.9534146
517661958	44.0048423	-107.9437966
517662209	44.0127583	-107.9637696
517665191	44.0224523	-107.9532606
509956551	45.7323834	-111.0109086
517662346	44.0090073	-107.9497086
517662211	44.0203623	-107.9661606
517661805	44.0179443	-107.9443976
517662390	43.9428236	-108.0030888
517503514	42.8921233	-106.3468302
517662092	44.0137813	-107.9569876
517661520	43.7871834	-107.3233692
517662303	44.0179653	-107.9529326
511878441	41.2308953	-103.4843201
517502342	42.9150733	-106.3412702
517665021	44.0886192	-107.2953148
509956692	45.6431034	-110.9320687
517661620	43.6505493	-108.1998006
517661440	43.7758403	-107.3159188
517661841	44.0106593	-107.9482456
517662250	44.0097103	-107.9670966
517662219	44.0155413	-107.9450146
509956225	45.6278234	-110.8294387
517661776	44.0168813	-107.9637556
517665039	44.0340572	-107.4472387
517662524	43.6425033	-108.1981196
517662336	44.0167713	-107.9596096
517662012	44.0136973	-107.9599366
507393814	32.5340241	-92.0920447
517661892	44.0086713	-107.9596386
517662173	44.0029963	-107.9407416
517662059	44.0167803	-107.9542496
517664571	44.3799622	-108.0466515
517661845	44.0104183	-107.9599106
517661920	44.0167713	-107.9607526
517665330	44.4489033	-108.4327794
517662147	44.0106283	-107.9568776
517662174	43.9212263	-108.0055656
511878931	41.2303533	-103.6475110
517661827	43.9212263	-108.0055656
517661852	44.0097103	-107.9670966
517661849	44.0090823	-107.9472566
517662283	44.0097103	-107.9670966
517662170	44.0103083	-107.9641016
517662129	43.9789223	-107.9595496
517665031	44.0340762	-107.4510257
517665091	44.0223213	-107.9474106
517661960	44.0110273	-107.9537616
517662131	44.0086713	-107.9609336
517665126	44.0216743	-107.9557556
517661455	44.0194373	-107.9286926
517662070	43.9723283	-107.9513526
517665097	44.0359613	-107.9256696
517662117	44.0157003	-107.9582286
517661466	44.0134803	-107.9366836
514611228	43.5440325	-96.7290025
517662155	44.0162443	-107.9717206
517661948	43.9968253	-107.9686436
517661879	44.0124903	-107.9484656
517661457	44.0193673	-107.8974986
517661874	44.0167803	-107.9541966
517661789	44.0157003	-107.9581766
517661971	44.0167713	-107.9621356
517661983	44.0089033	-107.9498626
517662105	44.0179353	-107.9498136
517661906	44.0191403	-107.9638946
517665083	44.0319763	-107.9517076
517504467	42.8887545	-108.6089397
517662249	44.0169963	-107.9571836
517661825	44.0167713	-107.9592426
517661474	44.0208433	-107.9301146
517661800	44.0168903	-107.9529686
517661453	44.0085683	-107.9185726
517661833	44.0208503	-107.9591486
517662220	43.9121413	-108.0555106
517665168	44.0342973	-107.9484696
517662003	44.0072263	-107.9403346
517661954	44.0156493	-107.9484826
517662082	43.9475293	-107.9681716
511878953	41.2373933	-103.6622210
517661790	43.9789293	-107.9640336
517661937	44.0158093	-107.9568136
517665256	44.0703362	-107.3479479
517661809	44.0167993	-107.9481296
517662295	44.0165453	-107.9612816
517503227	42.8774413	-106.3465072
517662228	43.9712163	-107.9506236
517665464	44.4885232	-108.0548795
517665075	44.1535243	-107.9238046
517662212	44.0165453	-107.9612816
517662257	44.0157063	-107.9710586
517661484	44.0173023	-107.9359526
517662153	44.0157003	-107.9515946
517662067	44.0168813	-107.9607006
517665081	44.0320203	-107.9516766
517662335	43.9913523	-107.9483176
