sp_id	stco	latitude	longitude
450069819	56015	42.0654900	-104.1842500
450094814	56031	42.504694	-105.022244
450094815	56031	42.504694	-105.022244
450063600	25027	0.0000000	0.0000000
450063193	56021	41.1629800	-104.7854700
450095202	56031	42.264317	-104.741643
450091363	56031	41.76051	-104.823129
450095203	56031	42.265735	-104.743944
450095204	56031	42.265735	-104.743944
450091365	56031	41.76051	-104.823129
450091364	56031	41.76051	-104.823129
450067304	25025	0.0000000	0.0000000
450098287	56031	42.059015	-104.958963
450104212	56001	41.742034	-105.970413
450073305	56001	41.3031024	-105.5899005
450094816	56031	42.504694	-105.022244
450066968	23015	0.0000000	0.0000000
