sp_id	stco	latitude	longitude
450092671	56009	42.750058	-105.395827
450095010	56009	42.859116	-105.871426
450094834	56009	42.85622	-105.870957
450063600	25027	0.0000000	0.0000000
450092665	56009	42.75101	-105.366892
450099883	56025	43.410152	-106.273022
450067304	25025	0.0000000	0.0000000
450093640	56025	42.86376	-106.268046
450094833	56009	42.85622	-105.870957
450100285	56009	42.669941	-105.645113
450092672	56009	42.75101	-105.366892
450104212	56001	41.742034	-105.970413
450092784	56009	43.249118	-105.273471
450094832	56009	42.861595	-105.853157
450092666	56009	42.762945	-105.399056
450066968	23015	0.0000000	0.0000000
