sp_id	sp_gq_id	age	sex
943198408	450006445	26	F
943198407	450006445	45	F
943198406	450006445	54	F
943198433	450006445	29	F
943198431	450006445	30	F
943198430	450006445	29	F
943198429	450006445	54	F
943198428	450006445	41	F
943198427	450006445	27	F
943198426	450006445	20	F
943198425	450006445	33	F
943198424	450006445	46	F
943198423	450006445	29	F
943198422	450006445	33	F
943198421	450006445	21	F
943198420	450006445	33	F
943198419	450006445	36	F
943198418	450006445	51	F
943198417	450006445	34	F
943198416	450006445	57	F
943198415	450006445	47	F
943198414	450006445	46	F
943198413	450006445	41	F
943198412	450006445	36	F
943198411	450006445	25	F
943198410	450006445	32	F
943198409	450006445	40	F
943198292	450006445	34	F
943198291	450006445	28	F
943198290	450006445	27	F
943198289	450006445	22	F
943198288	450006445	39	F
943198287	450006445	24	F
943198440	450006445	30	F
943198439	450006445	53	F
943198438	450006445	63	F
943198437	450006445	31	F
943198436	450006445	41	F
943198435	450006445	22	F
943198434	450006445	41	F
943198432	450006445	46	F
943198486	450006445	67	F
943198485	450006445	72	F
943198405	450006445	34	F
943198404	450006445	47	F
943198403	450006445	44	F
943198402	450006445	28	F
943198401	450006445	44	F
943198400	450006445	31	F
943198399	450006445	27	F
943198398	450006445	46	F
943198397	450006445	46	F
943198396	450006445	33	F
943198395	450006445	35	F
943198394	450006445	45	F
943198393	450006445	64	F
943198392	450006445	31	F
943198391	450006445	49	F
943198390	450006445	24	F
943198389	450006445	27	F
943198388	450006445	42	F
943198387	450006445	46	F
943198386	450006445	48	F
943198385	450006445	20	F
943198384	450006445	28	F
943198383	450006445	24	F
943198382	450006445	47	F
943198381	450006445	27	F
943198380	450006445	41	F
943198379	450006445	54	F
943198378	450006445	43	F
943198377	450006445	35	F
943198376	450006445	41	F
943198375	450006445	27	F
943198374	450006445	22	F
943198373	450006445	42	F
943198372	450006445	29	F
943198371	450006445	57	F
943198370	450006445	37	F
943198369	450006445	26	F
943198368	450006445	51	F
943198367	450006445	41	F
943198366	450006445	33	F
943198365	450006445	54	F
943198364	450006445	28	F
943198363	450006445	26	F
943198362	450006445	28	F
943198361	450006445	44	F
943198360	450006445	26	F
943198359	450006445	49	F
943198358	450006445	44	F
943198357	450006445	21	F
943198356	450006445	26	F
943198355	450006445	28	F
943198354	450006445	56	F
943198353	450006445	44	F
943198352	450006445	50	F
943198351	450006445	26	F
943198350	450006445	30	F
943198349	450006445	46	F
943198348	450006445	28	F
943198347	450006445	38	F
943198346	450006445	30	F
943198345	450006445	25	F
943198344	450006445	30	F
943198343	450006445	34	F
943198342	450006445	25	F
943198341	450006445	45	F
943198340	450006445	54	F
943198339	450006445	34	F
943198338	450006445	25	F
943198337	450006445	55	F
943198336	450006445	54	F
943198335	450006445	39	F
943198334	450006445	41	F
943198333	450006445	28	F
943198332	450006445	25	F
943198331	450006445	33	F
943198330	450006445	48	F
943198329	450006445	49	F
943198328	450006445	26	F
943198327	450006445	42	F
943198326	450006445	31	F
943198325	450006445	37	F
943198484	450006445	30	F
943198483	450006445	47	F
943198482	450006445	28	F
943198481	450006445	35	F
943198480	450006445	35	F
943198479	450006445	54	F
943198478	450006445	28	F
943198477	450006445	47	F
943198476	450006445	31	F
943198475	450006445	20	F
943198474	450006445	23	F
943198473	450006445	34	F
943198472	450006445	35	F
943198471	450006445	21	F
943198470	450006445	41	F
943198469	450006445	21	F
943198468	450006445	37	F
943198467	450006445	41	F
943198466	450006445	35	F
943198465	450006445	25	F
943198464	450006445	44	F
943198463	450006445	37	F
943198462	450006445	32	F
943198461	450006445	32	F
943198460	450006445	40	F
943198459	450006445	26	F
943198458	450006445	34	F
943198457	450006445	34	F
943198456	450006445	32	F
943198455	450006445	41	F
943198454	450006445	20	F
943198453	450006445	31	F
943198452	450006445	38	F
943198451	450006445	26	F
943198450	450006445	44	F
943198449	450006445	36	F
943198448	450006445	54	F
943198447	450006445	53	F
943198446	450006445	37	F
943198445	450006445	27	F
943198444	450006445	42	F
943198443	450006445	39	F
943198442	450006445	47	F
943198441	450006445	27	F
943198324	450006445	42	F
943198323	450006445	22	F
943198322	450006445	19	F
943198321	450006445	20	F
943198320	450006445	38	F
943198319	450006445	29	F
943198318	450006445	31	F
943198317	450006445	25	F
943198316	450006445	25	F
943198315	450006445	31	F
943198314	450006445	20	F
943198313	450006445	27	F
943198312	450006445	46	F
943198311	450006445	42	F
943198310	450006445	28	F
943198309	450006445	27	F
943198308	450006445	23	F
943198307	450006445	47	F
943198306	450006445	50	F
943198305	450006445	36	F
943198304	450006445	31	F
943198303	450006445	43	F
943198302	450006445	53	F
943198301	450006445	58	F
943198300	450006445	26	F
943198299	450006445	39	F
943198298	450006445	51	F
943198297	450006445	36	F
943198296	450006445	27	F
943198295	450006445	29	F
943198294	450006445	36	F
943198293	450006445	35	F
943198286	450025128	21	M
943198285	450025128	32	M
943198493	450006971	23	M
943198492	450006971	42	M
943198491	450006971	46	M
943198490	450006971	30	M
943198489	450006971	23	M
943198488	450006971	40	M
943198487	450006971	34	M
943198496	450006971	30	M
943198495	450006971	47	M
943198494	450006971	42	M
943198497	450025129	40	F
943198498	450025129	27	F
