sp_id	stcotrbg	hh_race	hh_income	latitude	longitude
56156386	560350001011	1	40000	42.8645896	-109.9133440
56156387	560350001011	1	394300	42.5462149	-110.1365247
56156388	560350001011	1	9900	43.2055588	-110.4146275
56156389	560350001011	1	96420	42.5966075	-110.1409476
56156390	560350001011	1	145800	43.2047145	-110.4166435
56156391	560350001011	1	14400	42.8513305	-110.0480306
56156392	560350001011	1	36090	43.1836053	-110.3948709
56156393	560350001011	1	38500	42.8520687	-110.0484466
56156394	560350001011	1	115500	42.8570477	-109.9153846
56156395	560350001011	1	120000	43.2039086	-110.4163622
56156396	560350001011	1	113000	43.2003801	-110.4076029
56156397	560350001011	1	149200	43.2382965	-110.4517021
56156398	560350001011	1	45000	43.2041986	-110.4148021
56156399	560350001011	1	53000	43.1913674	-110.4021171
56156400	560350001011	1	106900	42.8614404	-109.9112482
56156401	560350001011	1	256000	42.8627184	-109.9092911
56156402	560350001011	1	86500	43.1908755	-110.4025139
56156403	560350001011	1	62000	43.2233356	-110.4315025
56156404	560350001011	1	92000	43.2289499	-110.4367977
56156405	560350001011	1	270630	43.1895724	-110.4007953
56156406	560350001011	1	38200	43.1907621	-110.4022684
56156407	560350001011	1	72000	43.1892233	-110.4018709
56156408	560350001011	1	35100	43.1676733	-110.3756714
56156409	560350001011	1	45000	43.2086208	-110.4162393
56156410	560350001011	1	157000	43.2082139	-110.4159355
56156411	560350001011	1	106000	43.2247794	-110.4305002
56156412	560350001011	1	525200	43.1904949	-110.4068298
56156413	560350001011	1	40000	43.2358024	-110.4469904
56156414	560350001011	1	102000	42.8664419	-109.9267476
56156415	560350001011	1	135000	42.8561821	-109.9146782
56156416	560350001011	1	33300	42.8621241	-109.9162721
56156417	560350001011	1	21800	43.2240339	-110.4314012
56156418	560350001011	1	32000	43.2374917	-110.4518331
56156419	560350001011	1	35050	43.2291918	-110.4397612
56156420	560350001011	1	40090	43.1881211	-110.4008118
56156421	560350001011	1	55000	43.1888057	-110.4015661
56156422	560350001011	1	135000	43.2238779	-110.4301716
56156423	560350001011	1	34800	43.2237637	-110.4285977
56156424	560350001011	1	43300	43.1880490	-110.3996235
56156425	560350001011	1	37810	43.1887789	-110.4008149
56156426	560350001011	1	20500	43.2228128	-110.4284954
56156427	560350001011	1	16200	43.2295814	-110.4378766
56156428	560350001011	1	54000	43.2380490	-110.4466876
56156429	560350001011	1	8800	43.1868361	-110.4006565
56156430	560350001011	1	134000	43.1867740	-110.3999725
56156431	560350001011	1	68000	43.2292836	-110.4408283
56156432	560350001011	1	51610	43.1692795	-110.3770320
56156433	560350001011	1	278500	43.2369306	-110.4462175
56156434	560350001011	1	35050	43.2034879	-110.4117939
56156435	560350001011	1	205000	43.2280032	-110.4361980
56156436	560350001011	1	79120	43.2287518	-110.4383201
56156437	560350001011	1	47000	43.2283342	-110.4408901
56156438	560350001011	1	29700	43.2289441	-110.4369500
56156439	560350001011	1	96600	43.2285938	-110.4350904
56156440	560350001011	1	101800	43.2283222	-110.4378559
56156441	560350001011	1	105000	43.2306123	-110.4410517
56156442	560350001011	1	111100	42.8625180	-109.9197512
56156443	560350001011	1	96000	43.2273527	-110.4347034
56156444	560350001011	1	39600	43.2269504	-110.4368924
56156445	560350001011	1	80000	43.2278035	-110.4357636
56156446	560350001011	1	104000	43.1839390	-110.3965472
56156447	560350001011	1	70000	43.2263410	-110.4343450
56156448	560350001011	1	110600	43.1834493	-110.3978610
56156449	560350001011	1	95000	42.5961383	-110.1550848
56156450	560350001011	1	104000	42.8433181	-109.8713615
56156451	560350001011	1	131300	42.5964079	-110.1393662
56156452	560350001011	1	25700	42.5976751	-110.1427835
56156453	560350001011	1	36000	43.1989799	-110.4072638
56156454	560350001011	1	406490	42.8789143	-109.9652240
56156455	560350001011	1	30000	42.8774311	-109.9655803
56156456	560350001011	1	74600	43.2246912	-110.4285424
56156457	560350001011	1	68000	42.5965553	-110.1445383
56156458	560350001011	1	102000	42.8773180	-109.9662570
56156459	560350001011	1	81400	42.8619024	-109.8927883
56156460	560350001011	1	102000	42.5971448	-110.1443200
56156461	560350001011	1	23800	42.5966540	-110.1473447
56156462	560350001011	1	13210	42.8512556	-109.9213728
56156463	560350001011	1	55700	42.8612480	-109.8978014
56156464	560350001011	1	160700	42.8506643	-109.9237284
56156465	560350001011	1	142000	42.5970107	-110.1461305
56156466	560350001011	1	64800	43.1858897	-110.3936944
56156467	560350001011	1	140000	43.1931890	-110.4049498
56156468	560350001011	1	55000	43.1964203	-110.4034200
56156469	560350001011	1	66400	43.2015210	-110.4134952
56156470	560350001011	1	24000	42.8613709	-109.9156342
56156471	560350001011	1	71380	42.6006247	-110.1428802
56156472	560350001011	1	116600	42.8504320	-109.9251812
56156473	560350001011	1	96000	43.1974830	-110.4071641
56156474	560350001011	1	62300	42.5557876	-110.1119801
56156475	560350001011	1	64000	43.1986815	-110.4111090
56156476	560350001011	1	56300	42.5444703	-110.1358230
56156477	560350001011	1	127600	42.8616708	-109.8936193
56156478	560350001011	1	58000	42.6043963	-110.1603757
56156479	560350001011	1	112800	42.8416104	-109.8677494
56156480	560350001011	1	270630	42.5573176	-110.1118051
56156481	560350001011	1	41000	42.5986729	-110.1433536
56156482	560350001011	1	32000	43.2297644	-110.4397275
56156483	560350001011	1	68600	42.8418159	-109.8711637
56156484	560350001011	1	77000	43.1918533	-110.4064148
56156485	560350001011	1	38000	42.8788177	-109.9680248
56156486	560350001011	1	55000	42.8406668	-109.8713194
56156487	560350001011	1	45000	43.1905870	-110.3983951
56156488	560350001011	1	50000	43.1879039	-110.3954947
56156489	560350001011	1	85800	42.8507528	-109.9226411
56156490	560350001011	1	18700	42.5965865	-110.1425535
56156491	560350001011	1	43840	42.5995171	-110.1428299
56156492	560350001011	1	111000	43.1889217	-110.3963654
56156493	560350001011	1	24500	43.0901799	-110.4604592
56156494	560350001011	1	9800	43.0915959	-110.4602639
56156495	560350001011	1	46500	42.5975458	-110.1399489
56156496	560350001011	1	109000	43.0913947	-110.4611584
56156497	560350001011	1	123200	43.0976720	-110.4601069
56156498	560350001011	1	10000	43.1004231	-110.4594812
56156499	560350001011	1	46280	42.5969733	-110.1383640
56156500	560350001011	1	60820	42.5979532	-110.1383830
56156501	560350001011	1	132050	42.5979049	-110.1383776
56156502	560350001011	1	137000	43.0987456	-110.4595193
56156503	560350001011	1	78400	43.0925327	-110.4587271
56156504	560350001011	1	40000	42.5994861	-110.1419676
56156505	560350001011	1	144000	42.5979920	-110.1420760
56156506	560350001011	1	93600	42.5982014	-110.1408317
56156507	560350001011	1	155000	43.0956802	-110.4607775
56156508	560350001011	1	104000	43.0944165	-110.4603276
56156509	560350001011	1	45000	43.0950749	-110.4601611
56156510	560350001011	1	171000	42.5975620	-110.1410616
56156511	560350001011	1	62300	43.0929305	-110.4594033
56156512	560350001011	1	80000	43.0928388	-110.4612696
56156513	560350001011	1	24100	43.0941147	-110.4588873
56156514	560350001011	1	63000	42.5990544	-110.1422008
56156515	560350001011	1	150000	43.0924394	-110.4613600
56156516	560350001011	1	230060	43.0931719	-110.4597867
56156517	560350001011	1	155000	43.0936338	-110.4588937
56156518	560350001011	1	49200	42.6066270	-110.1597950
56156519	560350001011	1	90000	42.8645683	-109.8986933
56156520	560350001011	1	123200	42.5993969	-110.1391295
56156521	560350001011	1	54100	43.0896543	-110.4608318
56156522	560350001011	9	0	43.0892622	-110.4594952
56156523	560350001011	1	215000	43.0904951	-110.4599395
56156524	560350001011	1	30000	43.0901334	-110.4594137
56156525	560350001011	1	31000	42.8625859	-109.8932547
56156526	560350001011	1	103000	43.1958046	-110.4028309
56156527	560350001011	1	129500	42.8630202	-109.8967844
56156528	560350001011	1	40000	42.5994174	-110.1403950
56156529	560350001011	1	46000	42.5995925	-110.1407348
56156530	560350001011	1	82800	42.8630986	-109.8925316
56156531	560350001011	1	55000	43.0890096	-110.4607763
56156532	560350001011	1	139500	43.1932233	-110.4014341
56156533	560350001011	9	19800	43.1992580	-110.4058457
56156534	560350001011	1	177100	42.5996639	-110.1392765
56156535	560350001011	1	23600	43.2294696	-110.4350761
56156536	560350001011	1	87000	43.1992909	-110.4122527
56156537	560350001011	1	20700	43.2367564	-110.4459074
56156538	560350001011	1	38000	42.8633939	-109.8929419
56156539	560350001011	1	100090	42.8632926	-109.8944322
56156540	560350001011	1	123000	42.8614326	-109.8976671
56156541	560350001011	1	135250	42.8633372	-109.8916046
56156542	560350001011	1	98600	43.2007168	-110.4117978
56156543	560350001011	1	39000	42.8617633	-110.0726843
56156544	560350001011	1	45000	43.1953106	-110.4035284
56156545	560350001011	1	279200	42.8428328	-109.8713988
56156546	560350001011	1	129500	43.1993579	-110.4113126
56156547	560350001011	1	99600	43.1984120	-110.4052641
56156548	560350001011	9	90000	43.1945165	-110.4053516
56156549	560350001011	1	54200	42.8653061	-110.0725643
56156550	560350001011	1	102000	42.8443305	-109.8726800
56156551	560350001011	1	37900	42.6037523	-110.1570750
56156552	560350001011	1	135000	43.1143532	-110.2822671
56156553	560350001011	1	47000	42.5490648	-110.1393537
56156554	560350001011	1	26400	43.1918355	-110.4075025
56156555	560350001011	1	100000	42.8553248	-109.8850850
56156556	560350001011	1	32400	43.1827819	-110.3944634
56156557	560350001011	1	56400	42.5429477	-110.1300239
56156558	560350001011	1	144500	43.2303141	-110.4401485
56156559	560350001011	1	60300	43.0958076	-110.4588983
56156560	560350001011	1	205000	42.5422795	-110.1142174
56156561	560350001011	1	123200	42.5421279	-110.1165767
56156562	560350001011	1	80300	42.9295052	-110.1887361
56156563	560350001011	1	40000	42.8631997	-109.9112557
56156564	560350001011	1	24100	42.8636529	-109.9215198
56156565	560350001011	1	68000	42.5423386	-110.1154909
56156566	560350001011	1	135000	42.6060553	-110.1647793
56156567	560350001011	1	117400	43.1017739	-110.4580445
56156568	560350001011	1	14300	42.5424617	-110.1193127
56156569	560350001011	1	168200	42.5438018	-110.1203530
56156570	560350001011	1	45000	42.6031682	-110.1582933
56156571	560350001011	1	46900	43.1146286	-110.2837354
56156572	560350001011	1	29460	42.6032134	-110.1562448
56156573	560350001011	1	50000	43.2096451	-110.4162924
56156574	560350001011	1	169100	42.5426391	-110.1204541
56156575	560350001011	1	37900	43.0915986	-110.4583299
56156576	560350001011	1	47600	43.1140749	-110.2849237
56156577	560350001011	1	30000	43.0997042	-110.4594370
56156578	560350001011	1	515000	42.6070071	-110.1627039
56156579	560350001011	1	55000	43.0881622	-110.4605750
56156580	560350001011	1	12000	43.2030892	-110.4111798
56156581	560350001011	1	32000	43.1580671	-110.3721117
56156582	560350001011	1	29000	42.5986411	-110.1592280
56156583	560350001011	1	190000	42.8393677	-109.8730006
56156584	560350001011	1	120000	42.8606150	-109.9158487
56156585	560350001011	1	112000	42.6065788	-110.1614486
56156586	560350001011	1	139600	42.6066119	-110.1605097
56156587	560350001011	1	120000	43.1977919	-110.4075873
56156588	560350001011	1	93000	43.2028156	-110.4127875
56156589	560350001011	1	25000	42.8393590	-109.8744016
56156590	560350001011	1	35200	43.2003754	-110.4118346
56156591	560350001011	1	36500	43.1594907	-110.3711955
56156592	560350001011	1	163000	43.1943477	-110.4022257
56156593	560350001011	1	105000	42.5959311	-110.1484674
56156594	560350001011	1	36600	42.8395521	-109.8755295
56156595	560350001011	1	116000	42.8580415	-109.9136836
56156596	560350001011	1	116000	43.2005049	-110.4125132
56156597	560350001011	1	133800	42.8720788	-109.9344889
56156598	560350001011	1	73000	42.8653164	-109.9236426
56156599	560350001011	1	87000	42.7475852	-109.7227972
56156600	560350001011	1	28100	42.7483728	-109.7247326
56156601	560350001011	1	107000	42.5987551	-110.1600353
56156602	560350001011	1	145000	42.6098335	-110.1674618
56156603	560350001011	1	100000	42.6092304	-110.1688826
56156604	560350001011	1	134000	42.8750201	-109.9396544
56156605	560350001011	1	54200	43.2105071	-110.4162596
