sp_id	stco	latitude	longitude
450102465	56035	42.870157	-109.857796
450097860	56035	42.539917	-110.109945
450063600	25027	0.0000000	0.0000000
450089704	56035	42.537467	-110.114904
450058645	56039	43.4597126	-110.8126863
450058646	56039	43.4702600	-110.7859900
450102463	56035	42.873702	-109.861203
450094430	56013	42.997418	-108.85941
450067304	25025	0.0000000	0.0000000
450058854	56039	43.4910900	-110.8101771
450089703	56035	42.540423	-110.11683
450066968	23015	0.0000000	0.0000000
450102464	56035	42.870175	-109.859807
450089702	56035	42.537268	-110.114917
450089874	56035	43.247731	-110.49409
