sp_id	gq_type	stcotrbg	persons	latitude	longitude
450003738	C	560159578002	142	42.0793538	-104.1908231
450005063	C	560159580002	7	41.9645125	-104.2511345
450005064	C	560159580003	143	41.7512687	-104.3537835
450007491	P	560159579004	50	42.0653551	-104.1819600
450025104	P	560159579002	499	42.0501109	-104.1008885
450025105	P	560159579003	27	42.0077874	-104.0855595
450025106	P	560159579003	28	42.0077874	-104.0855595
450025107	P	560159579004	10	42.0650377	-104.1796600
450025108	P	560159580003	6	41.7512687	-104.3537835
450025109	P	560159580003	6	41.7512687	-104.3537835
450032301	N	560159578002	93	42.0840080	-104.1949000
450037480	N	560159579004	21	42.0641433	-104.1765533
