sp_id	stco	latitude	longitude
450098732	56003	44.835708	-108.393529
450090367	56003	44.450352	-108.433547
450098733	56003	44.837417	-108.401743
450095153	56003	44.496973	-108.051981
450063600	25027	0.0000000	0.0000000
450099020	56003	44.268172	-107.962398
450104243	56003	44.881916	-108.469294
450098734	56003	44.830164	-108.398335
450075747	56043	44.0109063	-107.9461376
450095151	56003	44.482704	-108.049873
450067304	25025	0.0000000	0.0000000
450095152	56003	44.495279	-108.05524
450069041	34035	0.0000000	0.0000000
450104246	56003	44.88292	-108.46832
450090361	56003	44.450352	-108.433547
450091583	56003	44.268172	-107.962398
450090365	56003	44.450352	-108.433547
450104245	56003	44.88111	-108.46791
450104086	56003	44.379975	-108.046674
450098096	56003	44.37958	-108.05049
450066968	23015	0.0000000	0.0000000
