sp_id	sp_hh_id	age	sex	race	relate	school_id	work_id
164095826	56263620	78	M	1	0	X	X
164095827	56263620	78	F	1	1	X	X
164095838	56262748	78	M	1	0	X	X
164095839	56262748	78	F	1	1	X	X
164375573	56261286	83	F	1	0	X	X
164466579	56262572	38	M	1	0	X	517420273
164580383	56262088	0	M	1	2	X	X
164580415	56262508	24	M	1	0	X	517419912
164606232	56261864	38	F	1	5	X	X
164606234	56261864	6	F	1	7	450102308	X
164606236	56261867	38	F	1	5	X	X
164606238	56261867	6	F	1	7	450102308	X
164606239	56261867	81	F	1	1	X	X
164606240	56262184	38	F	1	5	X	X
164606243	56262184	81	F	1	1	X	X
164606265	56261837	82	M	1	0	X	X
164606280	56261968	38	F	1	5	X	X
164606282	56261968	6	F	1	7	450102308	X
164606283	56261968	81	F	1	1	X	X
165065133	56263174	15	M	3	2	450102308	X
165065137	56263174	13	F	3	2	450102308	X
165065148	56263180	15	M	3	2	450102308	X
165065149	56263180	52	M	3	0	X	517420110
165065152	56263180	13	F	3	2	450102308	X
165125308	56261841	44	F	9	0	X	517420174
165128116	56262116	66	M	5	0	X	517420235
165128117	56262116	66	F	5	1	X	517420384
165128119	56262806	66	F	5	1	X	517419964
165474127	56262000	25	F	3	2	X	X
165474128	56262000	54	F	3	0	X	517420296
165474129	56262000	2	M	3	5	X	X
165474134	56261090	54	F	3	0	X	517420205
165474139	56262383	25	F	3	2	X	X
165474140	56262383	54	F	3	0	X	517422147
165474154	56261854	25	F	3	2	X	X
165474155	56261854	54	F	3	0	X	517419368
165474156	56261854	2	M	3	5	X	X
165587438	56265530	51	F	1	0	X	517420387
165587447	56263786	84	M	1	4	X	X
165587453	56264679	84	M	1	4	X	X
165587471	56266237	84	M	1	4	X	X
165587472	56263246	51	F	1	0	X	517420072
165587474	56265729	51	F	1	0	X	517419494
165654726	56263910	39	M	1	0	X	517420079
165654727	56263910	36	F	1	1	X	517420296
165654732	56262685	39	M	1	0	X	517420304
165654733	56262685	36	F	1	1	X	517420272
165654744	56261491	39	M	1	0	X	517432465
165654745	56261491	36	F	1	1	X	517420010
165658800	56260342	58	M	1	0	X	517420078
165714530	56262941	84	F	1	0	X	517420050
165714533	56261939	84	F	1	0	X	517419468
165714546	56266010	84	F	1	0	X	517419310
165714552	56264808	84	F	1	0	X	517419494
165731837	56261141	32	F	1	0	X	517419883
165731838	56261141	34	M	1	10	X	517420304
165731841	56260244	32	F	1	0	X	517410171
