sp_id	stco	latitude	longitude
450099616	56007	41.90109	-106.2083
450093383	56007	41.687338	-106.415202
450095656	56007	41.871536	-106.551455
450095354	56007	41.870467	-106.565617
450063600	25027	0.0000000	0.0000000
450060702	08107	40.5380851	-106.8316035
450101932	56025	42.821024	-106.397154
450062386	56025	42.8262931	-106.3515004
450060867	56001	41.3132600	-105.5907800
450095871	56007	41.815225	-107.22003
450103766	56007	41.801517	-107.225434
450093499	56007	41.208532	-106.793271
450102308	56007	41.782298	-107.235508
450103765	56007	41.800599	-107.23486
450100351	56007	41.793969	-107.248348
450067304	25025	0.0000000	0.0000000
450098570	56007	41.03666	-107.65551
450104212	56001	41.742034	-105.970413
450091859	56007	41.796155	-107.230065
450073305	56001	41.3031024	-105.5899005
450066968	23015	0.0000000	0.0000000
450060701	08107	40.4823100	-106.8281800
