sp_id	stco	latitude	longitude
450093890	56037	42.1103	-109.442982
450095077	56037	41.500635	-109.463738
450092488	56037	41.67034	-107.981924
450096455	56037	41.595488	-109.211348
450104217	56037	41.591216	-109.206571
450063600	25027	0.0000000	0.0000000
450092495	56037	41.67034	-107.981924
450100150	56037	41.51071	-109.467621
450088897	56013	42.980973	-108.558009
450101813	56037	41.588985	-109.251707
450101253	56037	41.630605	-109.261481
450075600	49043	40.6603100	-111.4985300
450094430	56013	42.997418	-108.85941
450093892	56037	42.110321	-109.442982
450104521	56037	41.6476	-109.2722
450099543	56037	41.023134	-109.908557
450093891	56037	42.110279	-109.442925
450067304	25025	0.0000000	0.0000000
450094994	56037	41.593576	-109.967941
450104216	56037	41.587152	-109.213697
450057833	56037	41.5848982	-109.2217265
450096762	56037	41.493833	-109.449886
450092526	56037	41.616619	-109.225365
450098458	56037	41.510695	-109.464669
450098403	56037	41.588806	-109.213307
450093728	56037	41.510885	-109.464554
450089217	56037	42.230979	-107.524516
450059859	56013	42.8234872	-108.7457924
450066968	23015	0.0000000	0.0000000
450095468	56037	41.500176	-109.455334
450063656	49043	40.7199400	-111.2974300
