sp_id	stco	latitude	longitude
450102494	56021	41.143297	-104.83706
450089214	56021	41.133878	-104.759984
450097285	56021	41.110091	-104.820226
450053985	56021	41.1262777	-104.8074994
450091650	56021	41.12475	-104.815889
450090994	56021	41.169446	-104.832395
450063600	25027	0.0000000	0.0000000
450063193	56021	41.1629800	-104.7854700
450074130	56021	41.1426993	-104.8056018
450088773	56021	41.168787	-104.788481
450102441	56021	41.178821	-104.066794
450094359	56021	41.131535	-104.863989
450060867	56001	41.3132600	-105.5907800
450090380	56021	41.189045	-104.358806
450091472	56021	41.413269	-105.182782
450104407	56021	41.102394	-104.809818
450104514	56021	41.152332	-104.728005
450095623	56021	41.125189	-104.800553
450067304	25025	0.0000000	0.0000000
450097017	56021	41.176972	-104.83893
450102442	56021	41.179614	-104.064205
450090713	56021	41.047963	-104.365964
450088679	56021	41.139118	-104.79833
450090377	56021	41.188187	-104.358167
450094885	56021	41.118579	-104.823687
450093034	56021	41.145726	-104.778117
450088956	56021	41.110602	-104.787197
450099475	56021	41.17406	-104.833422
450104212	56001	41.742034	-105.970413
450090671	56021	41.145906	-104.797884
450088545	56021	41.41662	-104.102624
450092591	56021	41.156467	-104.747046
450093829	56021	41.134746	-104.782702
450092317	56021	41.177436	-104.828486
450095661	56021	41.141339	-104.780285
450066968	23015	0.0000000	0.0000000
450099963	56021	41.147828	-104.81826
450089212	56021	41.147448	-104.764746
450096063	56021	41.17135	-104.813905
450090325	56021	41.166256	-104.777153
450098168	56021	41.131638	-104.772388
450094744	56021	41.164853	-105.086972
450088466	56021	41.087916	-104.803721
450092443	56021	41.150468	-104.828901
