sp_id	sp_hh_id	age	sex	race	relate	school_id	work_id
164095828	56329350	78	M	1	0	X	X
164095833	56334279	78	F	1	1	X	X
164095844	56267538	78	M	1	0	X	X
164095846	56331035	78	M	1	0	X	X
164095847	56331035	78	F	1	1	X	X
164095868	56333250	78	M	1	0	X	X
164095871	56324477	78	F	1	1	X	X
164359056	56326938	67	M	1	1	X	517505933
164359057	56326938	60	F	9	0	X	517508951
164359058	56334492	67	M	1	1	X	517509190
164359059	56334492	60	F	9	0	X	517510110
164375574	56323676	83	F	1	0	X	X
164466576	56331622	38	M	1	0	X	517510735
164466583	56325472	38	M	1	0	X	517505188
164466585	56334555	38	M	1	0	X	517509190
164466593	56268285	38	M	1	0	X	517510378
164475539	56330992	3	M	1	2	450088897	X
164475543	56267085	23	F	1	10	X	517505989
164475544	56267085	22	M	1	0	X	517505332
164475551	56268281	3	M	1	2	450094430	X
164475559	56267283	22	M	1	0	X	517505332
164475562	56326377	22	M	1	0	X	503600177
164580400	56333042	24	M	1	0	X	517510098
164580401	56333042	0	M	1	2	X	X
164606216	56323599	38	F	1	5	X	X
164606219	56323599	81	F	1	1	X	X
164606262	56323731	6	F	1	7	450101073	X
164606276	56328150	38	F	1	5	X	X
164606278	56328150	6	F	1	7	450088897	X
164606292	56324480	38	F	1	5	X	X
164606294	56324480	6	F	1	7	450089059	X
164761616	56322983	19	F	1	0	X	517510892
164761618	56322983	20	M	1	10	X	517505805
165065043	56329963	15	M	3	2	450088897	X
165065045	56329963	20	M	3	2	X	517510834
165065047	56329963	13	F	3	2	450088897	X
165065048	56332920	15	M	3	2	450104099	X
165065049	56332920	52	M	3	0	X	517413253
165065050	56332920	20	M	3	2	X	517510166
165065052	56332920	13	F	3	2	450104099	X
165065061	56329510	16	F	3	2	450102055	X
165065063	56327644	15	M	3	2	450094430	X
165065067	56327644	13	F	3	2	450094430	X
165065072	56327753	13	F	3	2	450094430	X
165065073	56329820	15	M	3	2	450104099	X
165065074	56329820	52	M	3	0	X	517505678
165065075	56329820	20	M	3	2	X	517509537
165065077	56329820	13	F	3	2	450104099	X
165065079	56327777	52	M	3	0	X	517510382
165065080	56327777	20	M	3	2	X	517504537
165065081	56327777	16	F	3	2	450098037	X
165065082	56327777	13	F	3	2	450094430	X
165065083	56327636	15	M	3	2	450094430	X
165065084	56327636	52	M	3	0	X	517508972
165065087	56327636	13	F	3	2	450094430	X
165065094	56267542	52	M	3	0	X	517505188
165065096	56267542	16	F	3	2	450098037	X
165065099	56329467	52	M	3	0	X	517509629
165065100	56329467	20	M	3	2	X	517510834
165065101	56329467	16	F	3	2	450098037	X
165065102	56329467	13	F	3	2	450094430	X
165065103	56322991	15	M	3	2	450094430	X
165065104	56322991	52	M	3	0	X	517505315
165065109	56327900	52	M	3	0	X	517509641
165065110	56327900	20	M	3	2	X	517508934
165065111	56327900	16	F	3	2	450098037	X
165065120	56329664	20	M	3	2	X	517508951
165065121	56329664	16	F	3	2	450102055	X
165065128	56329595	15	M	3	2	450094430	X
165065129	56329595	52	M	3	0	X	517509143
165065130	56329595	20	M	3	2	X	517509678
165065131	56329595	16	F	3	2	450102055	X
165065138	56267951	15	M	3	2	450094430	X
165065139	56267951	52	M	3	0	X	517505922
165065142	56267951	13	F	3	2	450094430	X
165065143	56327836	15	M	3	2	450094430	X
165065144	56327836	52	M	3	0	X	517508934
165065146	56327836	16	F	3	2	450098037	X
165065154	56327737	52	M	3	0	X	517509050
165065155	56327737	20	M	3	2	X	517510834
165065160	56329523	20	M	3	2	X	517510810
165065166	56332314	16	F	3	2	450104098	X
165065167	56332314	13	F	3	2	450103868	X
165065169	56329634	52	M	3	0	X	517504226
165065170	56329634	20	M	3	2	X	517510435
165065171	56329634	16	F	3	2	450102055	X
165065174	56327603	52	M	3	0	X	517508949
165065175	56327603	20	M	3	2	X	517508988
165065177	56327603	13	F	3	2	450094430	X
165065180	56327342	20	M	3	2	X	517505332
165065182	56327342	13	F	3	2	450094430	X
165065186	56330524	16	F	3	2	450104098	X
165065187	56330524	13	F	3	2	450103868	X
165065190	56267488	20	M	3	2	X	517506103
165065191	56267488	16	F	3	2	450098037	X
165065193	56326905	15	M	3	2	450094430	X
165065194	56326905	52	M	3	0	X	517508951
165065197	56326905	13	F	3	2	450094430	X
165065198	56325195	15	M	3	2	450103868	X
165065200	56325195	20	M	3	2	X	517509588
165065201	56325195	16	F	3	2	450104098	X
165125285	56334261	38	M	1	1	X	517510494
165125286	56334261	44	F	9	0	X	517509772
165125289	56330180	38	M	1	1	X	517509881
165125295	56334447	38	M	1	1	X	517510779
