sp_id	stco	latitude	longitude
450089025	56013	43.029046	-108.390729
450092793	56013	43.536155	-109.630827
450063600	25027	0.0000000	0.0000000
450094431	56013	42.997418	-108.85941
450089059	56013	43.034438	-108.372591
450098037	56013	42.839018	-108.744938
450088897	56013	42.980973	-108.558009
450096763	56013	43.027708	-108.399515
450092791	56013	43.536155	-109.630827
450102055	56013	42.839969	-108.713426
450081114	56013	42.997418	-108.85941
450094430	56013	42.997418	-108.85941
450067304	25025	0.0000000	0.0000000
450096991	56013	42.493022	-107.832696
450104098	56013	43.033622	-108.416536
450092792	56013	43.534824	-109.636463
450076643	56013	43.026482	-108.521836
450059859	56013	42.8234872	-108.7457924
450101073	56013	42.841548	-108.734061
450103868	56013	43.028656	-108.395423
450066968	23015	0.0000000	0.0000000
450092139	56013	43.22971	-109.00824
450104099	56013	43.033739	-108.410415
