sp_id	gq_type	stcotrbg	persons	latitude	longitude
450003971	C	560139404001	206	43.0304920	-108.4270099
450005062	C	560130003002	7	42.4956460	-108.4897658
450006443	P	560139403001	210	43.0589335	-108.3703384
450007490	P	560130001001	122	42.8355008	-108.7242676
450025095	P	560130001001	32	42.8390480	-108.7092253
450025096	P	560130001002	2	42.8643230	-108.7498311
450025097	P	560130001002	2	42.8643230	-108.7498311
450025098	P	560139401003	1	42.9872193	-108.8024610
450025099	P	560139401003	2	42.9872193	-108.8024610
450025100	P	560139401002	12	42.9785890	-108.8835864
450025101	P	560139401002	12	42.9785890	-108.8835864
450025102	P	560139404001	2	43.0619809	-108.3941713
450025103	P	560139404001	1	43.0619809	-108.3941713
450032300	N	560130003001	27	42.8233802	-108.7310983
450037479	N	560130003001	26	42.8316467	-108.7258626
450040563	N	560139403003	75	43.0327502	-108.3781505
450041584	N	560139401002	35	43.0035560	-108.8821720
