sp_id	sp_gq_id	age	sex
943201594	450007490	54	M
943201583	450007490	44	M
943201584	450007490	32	M
943201585	450007490	31	M
943201586	450007490	43	M
943201587	450007490	24	M
943201588	450007490	24	M
943201589	450007490	55	M
943201590	450007490	42	M
943201591	450007490	21	M
943201680	450007490	77	M
943201679	450007490	38	M
943201678	450007490	54	M
943201677	450007490	44	M
943201676	450007490	32	M
943201675	450007490	42	M
943201674	450007490	39	M
943201673	450007490	49	M
943201672	450007490	23	M
943201671	450007490	27	M
943201670	450007490	31	M
943201669	450007490	36	M
943201668	450007490	21	M
943201667	450007490	46	M
943201666	450007490	45	M
943201665	450007490	27	M
943201664	450007490	33	M
943201663	450007490	29	M
943201662	450007490	42	M
943201661	450007490	33	M
943201660	450007490	27	M
943201659	450007490	39	M
943201658	450007490	20	M
943201657	450007490	44	M
943201656	450007490	36	M
943201655	450007490	32	M
943201654	450007490	49	M
943201629	450007490	42	M
943201628	450007490	52	M
943201627	450007490	18	M
943201626	450007490	34	M
943201625	450007490	51	M
943201624	450007490	35	M
943201653	450007490	22	M
943201652	450007490	22	M
943201623	450007490	24	M
943201622	450007490	43	M
943201621	450007490	55	M
943201620	450007490	54	M
943201619	450007490	26	M
943201618	450007490	33	M
943201617	450007490	25	M
943201616	450007490	53	M
943201615	450007490	60	M
943201614	450007490	26	M
943201651	450007490	25	M
943201650	450007490	62	M
943201649	450007490	21	M
943201648	450007490	43	M
943201630	450007490	29	M
943201631	450007490	29	M
943201632	450007490	21	M
943201633	450007490	30	M
943201634	450007490	23	M
943201635	450007490	57	M
943201636	450007490	64	M
943201637	450007490	43	M
943201638	450007490	22	M
943201639	450007490	49	M
943201613	450007490	42	M
943201612	450007490	30	M
943201611	450007490	29	M
943201600	450007490	29	M
943201599	450007490	44	M
943201598	450007490	28	M
943201640	450007490	63	M
943201641	450007490	40	M
943201642	450007490	24	M
943201643	450007490	53	M
943201644	450007490	41	M
943201645	450007490	41	M
943201646	450007490	34	M
943201647	450007490	28	M
943201610	450007490	48	M
943201609	450007490	21	M
943201608	450007490	22	M
943201607	450007490	32	M
943201606	450007490	32	M
943201605	450007490	34	M
943201604	450007490	34	M
943201603	450007490	20	M
943201602	450007490	20	M
943201601	450007490	34	M
943201597	450007490	53	M
943201596	450007490	35	M
943201595	450007490	46	M
943201593	450007490	42	M
943201592	450007490	27	M
943201559	450007490	17	M
943201560	450007490	17	M
943201561	450007490	17	M
943201562	450007490	17	M
943201563	450007490	14	M
943201564	450007490	17	M
943201565	450007490	13	M
943201566	450007490	17	M
943201567	450007490	13	M
943201568	450007490	16	M
943201569	450007490	36	M
943201570	450007490	27	M
943201571	450007490	64	M
943201572	450007490	49	M
943201573	450007490	26	M
943201574	450007490	31	M
943201575	450007490	38	M
943201576	450007490	43	M
943201577	450007490	47	M
943201578	450007490	30	M
943201579	450007490	39	M
943201580	450007490	20	M
943201581	450007490	39	M
