sp_id	stco	latitude	longitude
450093137	56029	44.52881	-109.054496
450101988	56029	44.752453	-108.763583
450091622	56029	44.529704	-109.043266
450063600	25027	0.0000000	0.0000000
450064537	56029	44.5200762	-109.0715898
450104243	56003	44.881916	-108.469294
450102716	56029	44.755573	-108.7547
450091621	56029	44.524708	-109.067896
450067304	25025	0.0000000	0.0000000
450099630	56029	44.15452	-108.872313
450102714	56029	44.760953	-108.745235
450090361	56003	44.450352	-108.433547
450091436	56029	44.903716	-109.17142
450094824	56029	44.516945	-109.064176
450066968	23015	0.0000000	0.0000000
