sp_id	sp_gq_id	age	sex
938943572	450005065	19	F
938943571	450005065	19	F
938943570	450005065	19	F
938943569	450005065	19	F
938943568	450005065	19	F
938943567	450005065	23	F
938943566	450005065	23	F
938943565	450005065	19	F
938943564	450005065	24	F
938943563	450005065	19	F
938943562	450005065	19	F
938943561	450005065	25	F
938943560	450005065	18	F
938943559	450005065	20	F
938943558	450005065	18	F
938943557	450005065	22	F
938943556	450005065	19	F
938943555	450005065	18	F
938943554	450005065	19	F
938943553	450005065	21	F
938943552	450005065	22	F
938943551	450005065	19	F
938943550	450005065	18	F
938943549	450005065	19	F
938943548	450005065	21	F
938943547	450005065	24	F
938943546	450005065	20	F
938943545	450005065	21	F
938943544	450005065	18	F
938943543	450005065	21	F
938943542	450005065	18	F
938943541	450005065	18	F
938943540	450005065	19	F
938943539	450005065	20	F
938943538	450005065	20	F
938943537	450005065	18	F
938943536	450005065	18	F
938943535	450005065	20	F
938943534	450005065	18	F
938943533	450005065	18	F
938943532	450005065	18	F
938943531	450005065	19	F
938943530	450005065	23	F
938943529	450005065	24	F
938943528	450005065	19	F
938943527	450005065	24	F
938943526	450005065	20	F
938943525	450005065	23	F
938943524	450005065	21	F
938943523	450005065	18	F
938943522	450005065	18	F
938943521	450005065	19	F
938943520	450005065	19	F
938943519	450005065	23	F
938943518	450005065	60	F
938943517	450005065	20	F
938943516	450005065	19	F
938943515	450005065	20	F
938943514	450005065	23	F
938943513	450005065	20	F
938943512	450005065	18	F
938943511	450005065	19	F
938943510	450005065	24	F
938943509	450005065	18	F
938943508	450005065	22	F
938943507	450005065	19	F
938943506	450005065	26	F
938943505	450005065	19	F
938943504	450005065	21	F
938943503	450005065	19	F
938943502	450005065	19	F
938943501	450005065	21	F
938943500	450005065	19	F
938943293	450005065	23	M
938943294	450005065	27	M
938943295	450005065	24	M
938943296	450005065	18	M
938943297	450005065	19	M
938943298	450005065	20	M
938943299	450005065	19	M
938943300	450005065	23	M
938943301	450005065	18	M
938943302	450005065	21	M
938943303	450005065	19	M
938943304	450005065	21	M
938943305	450005065	21	M
938943306	450005065	19	M
938943307	450005065	21	M
938943308	450005065	24	M
938943309	450005065	19	M
938943310	450005065	19	M
938943311	450005065	20	M
938943312	450005065	19	M
938943313	450005065	18	M
938943314	450005065	23	M
938943315	450005065	19	M
938943316	450005065	20	M
938943317	450005065	18	M
938943318	450005065	19	M
938943319	450005065	21	M
938943320	450005065	20	M
938943321	450005065	19	M
938943322	450005065	18	M
938943323	450005065	19	M
938943324	450005065	19	M
938943325	450005065	23	M
938943326	450005065	19	M
938943327	450005065	22	M
938943328	450005065	21	M
938943329	450005065	20	M
938943330	450005065	18	M
938943331	450005065	25	M
938943332	450005065	22	M
938943333	450005065	20	M
938943334	450005065	19	M
938943335	450005065	18	M
938943336	450005065	23	M
938943337	450005065	22	M
938943338	450005065	19	M
938943339	450005065	25	M
938943340	450005065	18	M
938943341	450005065	21	M
938943342	450005065	23	M
938943343	450005065	19	M
938943344	450005065	19	M
938943345	450005065	18	M
938943346	450005065	19	M
938943347	450005065	19	M
938943348	450005065	23	M
938943349	450005065	20	M
938943350	450005065	19	M
938943351	450005065	18	M
938943352	450005065	23	M
938943353	450005065	22	M
938943354	450005065	20	M
938943355	450005065	23	M
938943356	450005065	21	M
938943357	450005065	18	M
938943358	450005065	20	M
938943359	450005065	23	M
938943360	450005065	20	M
938943361	450005065	19	M
938943362	450005065	18	M
938943363	450005065	19	M
938943364	450005065	18	M
938943365	450005065	20	M
938943366	450005065	20	M
938943367	450005065	24	M
938943368	450005065	18	M
938943499	450005065	19	F
938943498	450005065	19	F
938943497	450005065	19	M
938943496	450005065	19	M
938943495	450005065	18	M
938943494	450005065	23	M
938943493	450005065	18	M
938943492	450005065	20	M
938943491	450005065	22	M
938943490	450005065	19	M
938943489	450005065	22	M
938943488	450005065	19	M
938943487	450005065	18	M
938943486	450005065	21	M
938943485	450005065	19	M
938943484	450005065	18	M
938943483	450005065	18	M
938943482	450005065	18	M
938943481	450005065	18	M
938943480	450005065	24	M
938943479	450005065	22	M
938943478	450005065	21	M
938943477	450005065	19	M
938943476	450005065	21	M
938943475	450005065	19	M
938943474	450005065	18	M
938943473	450005065	27	M
938943472	450005065	23	M
938943471	450005065	19	M
938943470	450005065	23	M
938943469	450005065	23	M
938943468	450005065	19	M
938943467	450005065	18	M
938943466	450005065	19	M
938943465	450005065	19	M
938943464	450005065	34	M
938943463	450005065	21	M
938943292	450005065	18	M
938943291	450005065	23	M
938943290	450005065	24	M
938943369	450005065	22	M
938943370	450005065	18	M
938943371	450005065	18	M
938943372	450005065	19	M
938943373	450005065	19	M
938943374	450005065	21	M
938943375	450005065	23	M
938943376	450005065	21	M
938943377	450005065	21	M
938943378	450005065	18	M
938943379	450005065	20	M
938943380	450005065	19	M
938943381	450005065	20	M
938943382	450005065	18	M
938943383	450005065	20	M
938943384	450005065	22	M
938943385	450005065	19	M
938943386	450005065	18	M
938943387	450005065	19	M
938943388	450005065	23	M
938943389	450005065	19	M
938943390	450005065	22	M
938943391	450005065	18	M
938943392	450005065	18	M
938943393	450005065	24	M
938943394	450005065	24	M
938943395	450005065	19	M
938943396	450005065	21	M
938943397	450005065	19	M
938943398	450005065	18	M
938943399	450005065	18	M
938943400	450005065	18	M
938943401	450005065	19	M
938943402	450005065	18	M
938943403	450005065	21	M
938943404	450005065	24	M
938943405	450005065	19	M
938943406	450005065	20	M
938943407	450005065	24	M
938943408	450005065	19	M
938943409	450005065	22	M
938943410	450005065	21	M
938943411	450005065	20	M
938943412	450005065	24	M
938943413	450005065	24	M
938943414	450005065	23	M
938943415	450005065	18	M
938943416	450005065	25	M
938943417	450005065	18	M
938943418	450005065	23	M
938943419	450005065	19	M
938943420	450005065	21	M
938943421	450005065	22	M
938943422	450005065	24	M
938943423	450005065	22	M
938943424	450005065	19	M
938943425	450005065	25	M
