sp_id	latitude	longitude
517791888	44.7781733	-108.7731193
517791234	44.9585692	-108.5757623
517663053	43.5302835	-109.6279193
517792054	44.7523633	-108.7571493
517792436	44.5447533	-109.0142393
517663614	44.5278773	-109.0512523
517792393	44.5326033	-109.0406793
517663687	44.5201183	-109.0747583
517790668	44.8318032	-108.3884594
517664144	44.5246033	-109.0556693
517664420	44.5195933	-109.0619693
517792527	44.5327633	-109.0431793
517662988	43.5359435	-109.6470493
517791332	44.7562423	-108.7698813
517791688	44.7258433	-108.7633293
517790735	44.8384232	-108.3971694
517663770	44.5225483	-109.0518683
517790718	44.8337432	-108.4369894
509952616	45.7403331	-108.6184192
517792122	44.7758433	-108.7390693
517792399	44.5320933	-109.0501893
517663746	44.5272113	-109.0631873
517790715	44.8317932	-108.3937694
517663972	44.5274833	-109.0575693
503569151	61.1657184	-149.8451780
517791725	44.7934333	-108.7041193
517790597	44.8377832	-108.3867694
517790578	44.8394332	-108.3888494
517792279	44.9428033	-109.1423322
517664533	44.1594433	-108.8728194
517664279	44.5257233	-109.0645993
510021455	46.6077631	-112.0132135
503567978	61.1608184	-149.8545880
517792003	44.6975033	-108.7269493
517664254	44.5168833	-109.0702293
503613514	21.2819466	-157.8009666
517664061	44.5194833	-109.0458293
517665404	44.5000432	-108.0557295
517664104	44.5256733	-109.0423793
517664524	44.4935733	-108.9669193
517791866	44.7597833	-108.7741393
517664187	44.5185233	-109.0572993
517791325	44.7169703	-108.9751723
517791835	44.7470833	-108.8793993
517504741	42.8755733	-106.4359001
517792410	44.5307233	-109.0535393
517664210	44.5205933	-109.0521993
510021299	46.6020584	-111.9869193
517792246	44.5402803	-109.0341253
517664333	44.4996433	-109.1007393
516651110	36.1385832	-86.8190160
517663544	44.4323033	-109.2370293
517791392	44.7131023	-108.8712453
517791259	44.7554423	-108.7490133
517664404	44.5289433	-109.0332793
517791808	44.7672733	-108.6397293
517664216	44.5257233	-109.0631393
517791867	44.7563933	-108.7469393
517663904	44.5277033	-109.0440393
517663878	44.5133533	-109.0634593
517792445	44.5388733	-109.0682293
517663871	44.1620377	-108.8753951
517663389	44.3983044	-109.3014763
517791652	44.7118133	-108.7579693
517791724	44.7501433	-108.7020093
517664549	44.1567233	-108.8726894
517664340	44.5181333	-109.0637893
517664081	44.5085833	-109.0953093
517792479	44.5439533	-109.0570893
517792134	44.7466233	-108.7368693
517664473	44.5191733	-109.0653493
517790250	44.8276762	-108.3998864
517791994	44.7539733	-108.7796493
517791574	44.6384033	-108.9740393
517792336	44.5597233	-109.0169993
503569160	61.1404283	-149.8395280
517664158	44.5228933	-109.0272993
