sp_id	sp_hh_id	age	sex	race	relate	school_id	work_id
164156822	56101940	75	F	1	0	X	X
164156828	56097894	75	F	1	0	X	X
164156840	56098276	75	F	1	0	X	X
164172472	56156244	50	F	1	1	X	X
164172473	56156244	23	F	1	2	X	X
164172489	56099416	51	M	1	0	X	517792276
164172490	56099416	50	F	1	1	X	X
164172501	56101275	51	M	1	0	X	517664102
164172502	56101275	50	F	1	1	X	X
164172513	56100289	51	M	1	0	X	517663687
164172514	56100289	50	F	1	1	X	X
164172525	56103203	51	M	1	0	X	517664012
164172534	56103323	51	M	1	0	X	517664115
164172535	56103323	50	F	1	1	X	X
164172536	56103323	23	F	1	2	X	X
164172543	56100753	51	M	1	0	X	517664012
164172544	56100753	50	F	1	1	X	X
164172548	56102566	23	F	1	2	X	X
164172553	56104208	50	F	1	1	X	X
164172554	56104208	23	F	1	2	X	X
164186078	56103453	86	F	1	0	X	X
164186081	56096626	86	F	1	0	X	X
164186083	56156141	86	F	1	0	X	X
164186086	56103210	86	F	1	0	X	X
164355288	56101377	27	M	1	0	X	517663812
164355299	56105513	24	F	1	1	X	517791711
164355301	56156337	24	F	1	1	X	517664395
164632763	56102020	49	F	1	1	X	517792482
164632768	56103517	52	M	1	0	X	517664133
164632769	56103517	49	F	1	1	X	517792173
164632772	56095811	52	M	1	0	X	517791337
164632773	56095811	49	F	1	1	X	517792067
164632780	56098177	52	M	1	0	X	517791495
164632781	56098177	49	F	1	1	X	517791351
164645677	56095546	11	F	1	2	450101988	X
164645678	56095546	10	F	1	2	450101988	X
164645680	56095546	29	F	1	1	X	517791763
164645733	56097473	11	F	1	2	450101988	X
164645734	56097473	10	F	1	2	450101988	X
164645736	56097473	29	F	1	1	X	517791351
164729722	56094743	44	M	2	0	X	517791345
164935655	56096315	2	M	1	2	X	X
164935656	56096315	28	F	1	0	X	517792106
165080407	56103525	70	F	1	0	X	517664437
165080417	56103389	70	F	1	0	X	517664543
165080418	56102829	70	F	1	0	X	517792372
165080422	56101334	70	F	1	0	X	517663675
165161971	56102896	24	F	1	1	X	517663861
165161972	56102896	26	M	1	0	X	517664470
165168822	56098300	27	F	1	0	X	517790287
165168823	56098300	36	F	1	9	X	517663805
165168827	56156192	36	F	1	9	X	517664010
165168840	56096867	27	F	1	0	X	517791360
165529858	56101182	29	M	1	1	X	X
165529859	56101182	2	M	1	2	X	X
165529879	56105989	29	M	1	1	X	X
165529881	56105989	27	F	1	0	X	X
165529885	56096312	29	M	1	1	X	X
165529901	56098356	2	M	1	2	X	X
165529916	56104478	2	M	1	2	X	X
165600280	56100620	8	M	1	2	450093137	X
165600281	56100620	5	F	1	2	450093137	X
165600282	56100620	36	F	1	0	X	517664322
165600284	56100391	10	F	1	2	450093137	X
165600285	56100391	8	M	1	2	450093137	X
165600288	56100391	5	F	1	2	450093137	X
165600300	56104908	8	M	1	2	450094824	X
165600301	56104908	5	F	1	2	450094824	X
165600325	56104616	8	M	1	2	450093137	X
165600326	56104616	5	F	1	2	450093137	X
165600328	56104616	5	F	1	2	450093137	X
165669047	56104519	27	M	1	0	X	517663648
165669056	56103457	27	M	1	0	X	517663812
165669082	56096716	27	M	1	0	X	517792147
165669083	56098562	27	M	1	0	X	517791351
