sp_id	sp_hh_id	age	sex	race	relate	school_id	work_id
164095836	56343946	78	M	1	0	X	X
164095848	56353719	78	M	1	0	X	X
164095849	56353719	78	F	1	1	X	X
164095853	56352493	78	F	1	1	X	X
164095854	56357929	78	M	1	0	X	X
164095857	56354405	78	F	1	1	X	X
164095862	56345323	78	M	1	0	X	X
164095863	56345323	78	F	1	1	X	X
164095865	56355526	78	F	1	1	X	X
164095867	56357199	78	F	1	1	X	X
164359052	56348944	67	M	1	1	X	517504372
164359053	56348944	60	F	9	0	X	517499650
164359061	56403686	60	F	9	0	X	517500637
164359065	56346721	60	F	9	0	X	517501474
164375572	56339931	83	F	1	0	X	X
164466578	56356717	38	M	1	0	X	517501934
164466581	56401337	38	M	1	0	X	517504830
164466590	56342717	38	M	1	0	X	517502339
164466595	56355358	38	M	1	0	X	517499253
164475529	56355585	22	M	1	0	X	517503227
164475530	56355585	3	M	1	2	450101932	X
164475531	56357580	23	F	1	10	X	517503806
164475535	56357917	22	M	1	0	X	517499650
164475536	56357917	3	M	1	2	450100352	X
164475542	56344452	3	M	1	2	450102474	X
164475548	56336318	3	M	1	2	450101048	X
164475552	56340445	23	F	1	10	X	517501790
164475555	56340534	23	F	1	10	X	517503214
164475557	56340534	3	M	1	2	450101048	X
164580380	56350946	0	M	1	2	X	X
164580381	56350946	22	F	1	10	X	517501544
164580386	56356821	0	M	1	2	X	X
164580387	56356821	22	F	1	10	X	517503986
164580388	56339540	24	M	1	0	X	517503806
164580391	56350391	24	M	1	0	X	517504246
164580393	56350391	22	F	1	10	X	517499650
164580394	56348835	24	M	1	0	X	517501172
164580397	56356294	24	M	1	0	X	517502926
164580404	56348985	0	M	1	2	X	X
164580409	56350453	24	M	1	0	X	517500234
164580412	56337075	24	M	1	0	X	517499763
164580414	56337075	22	F	1	10	X	517499729
164580418	56353631	24	M	1	0	X	517500125
164580419	56353631	0	M	1	2	X	X
164606220	56342014	38	F	1	5	X	X
164606221	56342014	82	M	1	0	X	X
164606222	56342014	6	F	1	7	450099049	X
164606223	56342014	81	F	1	1	X	X
164606225	56354167	82	M	1	0	X	X
164606226	56354167	6	F	1	7	450094428	X
164606227	56354167	81	F	1	1	X	X
164606229	56346929	82	M	1	0	X	X
164606230	56346929	6	F	1	7	450095009	X
164606231	56346929	81	F	1	1	X	X
164606245	56406645	82	M	1	0	X	X
164606246	56406645	6	F	1	7	450101756	X
164606247	56406645	81	F	1	1	X	X
164606248	56349403	38	F	1	5	X	X
164606253	56354281	82	M	1	0	X	X
164606254	56354281	6	F	1	7	450094428	X
164606255	56354281	81	F	1	1	X	X
164606256	56400857	38	F	1	5	X	X
164606259	56400857	81	F	1	1	X	X
164606268	56354346	38	F	1	5	X	X
164606269	56354346	82	M	1	0	X	X
164606272	56340735	38	F	1	5	X	X
164606273	56340735	82	M	1	0	X	X
164606274	56340735	6	F	1	7	450102474	X
164606275	56340735	81	F	1	1	X	X
164606290	56340853	6	F	1	7	450102474	X
164606291	56340853	81	F	1	1	X	X
164606296	56342701	38	F	1	5	X	X
164606297	56342701	82	M	1	0	X	X
164606298	56342701	6	F	1	7	450099049	X
164606300	56340895	38	F	1	5	X	X
164606301	56340895	82	M	1	0	X	X
164606302	56340895	6	F	1	7	450102474	X
164606303	56340895	81	F	1	1	X	X
164606304	56357371	38	F	1	5	X	X
164606305	56357371	82	M	1	0	X	X
164761619	56405437	19	F	1	0	X	517501926
164761620	56405437	0	F	1	2	X	X
164761622	56405743	19	F	1	0	X	517500352
164761624	56405743	20	M	1	10	X	517504266
164761625	56405378	19	F	1	0	X	517504940
164761626	56405378	0	F	1	2	X	X
164761627	56405378	20	M	1	10	X	517501694
164761628	56355065	19	F	1	0	X	517504707
165065053	56354797	15	M	3	2	450101932	X
165065056	56354797	16	F	3	2	450100625	X
165065057	56354797	13	F	3	2	450101932	X
165065090	56407300	20	M	3	2	X	517504830
165065091	56407300	16	F	3	2	450090886	X
165065092	56407300	13	F	3	2	450090886	X
165065127	56356610	13	F	3	2	450099987	X
165125284	56358106	44	F	9	0	X	517501328
165125287	56349884	38	M	1	1	X	517503806
165125299	56348834	38	M	1	1	X	517501033
165125300	56348834	44	F	9	0	X	517503265
165125305	56349898	38	M	1	1	X	517503706
165125311	56339306	38	M	1	1	X	517502979
165125312	56339306	44	F	9	0	X	517501495
165474143	56348343	54	F	3	0	X	517503806
165587435	56345905	84	M	1	4	X	X
165587440	56346293	51	F	1	0	X	517501488
165587442	56338145	51	F	1	0	X	517502546
165587443	56338145	84	M	1	4	X	X
165587444	56406284	51	F	1	0	X	517504039
165587445	56406284	84	M	1	4	X	X
165587450	56400730	51	F	1	0	X	517504082
165587457	56404051	84	M	1	4	X	X
165587464	56353834	51	F	1	0	X	517502708
165587465	56353834	84	M	1	4	X	X
165587480	56339634	51	F	1	0	X	517499729
165587482	56353322	51	F	1	0	X	517501544
165587485	56400277	84	M	1	4	X	X
165587486	56345975	51	F	1	0	X	517501371
165587487	56345975	84	M	1	4	X	X
165654705	56352209	36	F	1	1	X	517503896
165654709	56357704	36	F	1	1	X	517499253
165654711	56348051	36	F	1	1	X	517503367
165654714	56403205	39	M	1	0	X	517502061
165654716	56356545	39	M	1	0	X	517503806
165654718	56405414	39	M	1	0	X	517501151
165654719	56405414	36	F	1	1	X	517502718
165654721	56353616	36	F	1	1	X	517499603
165654722	56341867	39	M	1	0	X	517503356
165654728	56404858	39	M	1	0	X	517502432
165654729	56404858	36	F	1	1	X	517502788
165654730	56401555	39	M	1	0	X	517499602
165654731	56401555	36	F	1	1	X	517503062
165654736	56355821	39	M	1	0	X	517500585
165654737	56355821	36	F	1	1	X	517504314
165654738	56407518	39	M	1	0	X	517503857
165654741	56404976	36	F	1	1	X	517501544
165654742	56405871	39	M	1	0	X	517505034
165658798	56408159	58	M	1	0	X	517500314
165658802	56345526	58	M	1	0	X	517499271
165658803	56345526	56	F	1	1	X	517503923
165658806	56343534	58	M	1	0	X	517502708
165658814	56401434	58	M	1	0	X	517502434
165658815	56401434	56	F	1	1	X	517502902
165658819	56339692	56	F	1	1	X	517502708
165658824	56353602	58	M	1	0	X	517500516
