sp_id	gq_type	stcotrbg	persons	latitude	longitude
450003740	C	560250009022	320	42.8305174	-106.3270066
450007496	P	560250002003	11	42.8509685	-106.3255364
450007497	P	560250012001	225	42.8632713	-106.3449905
450025119	P	560250002002	6	42.8574442	-106.3169429
450025120	P	560250002003	5	42.8506218	-106.3214969
450025121	P	560250003002	11	42.8422431	-106.3084051
450025122	P	560250003002	10	42.8422431	-106.3084051
450025123	P	560250003003	1	42.8439646	-106.3209842
450025124	P	560250003003	5	42.8439646	-106.3209842
450025125	P	560250012001	40	42.8558101	-106.3622557
450025126	P	560250018003	230	42.8484524	-106.5426917
450025127	P	560250018003	24	42.8484524	-106.5426917
450032308	N	560250005012	72	42.8306674	-106.2978927
450037482	N	560250003001	15	42.8487067	-106.3088201
450037483	N	560250010002	61	42.8226328	-106.3986256
450040565	N	560250010002	61	42.8203720	-106.4004220
450045126	N	560250009022	75	42.8180479	-106.3340244
450048304	N	560250009022	75	42.8180479	-106.3340244
450048305	N	560250009022	68	42.8180479	-106.3340244
450048412	N	560250010002	56	42.8239428	-106.4042509
