sp_id	gq_type	stcotrbg	persons	latitude	longitude
450003741	C	560330001004	357	44.7644673	-106.9423735
450010993	P	560330004001	81	44.8155486	-106.9567686
450010994	P	560330006003	52	44.7614020	-106.9675121
450025134	P	560330003001	4	44.8015836	-106.9516225
450025135	P	560330003001	2	44.8015836	-106.9516225
450025136	P	560330004001	15	44.8135200	-106.9494071
450025137	P	560330006003	36	44.7747561	-107.0039895
450032311	N	560330001001	5	44.7851451	-106.9471574
450038503	N	560330001001	3	44.7834674	-106.9397099
450040566	N	560330006003	73	44.7877980	-106.9952640
450041586	N	560330001002	89	44.7778840	-106.9576400
450041587	N	560330006002	62	44.9299850	-107.0912510
