sp_id	latitude	longitude
517788614	44.7794651	-106.9031327
517789624	44.7916231	-106.9602397
517790154	44.7975331	-106.9587997
517789498	44.7938231	-106.9575797
517664906	44.1249612	-106.7273719
517788901	44.8123431	-106.9461997
517790523	44.8744231	-107.2622296
517788619	44.7884661	-106.9457687
517788598	44.7766591	-106.9339177
517790155	44.8084631	-106.9658597
517790526	44.8760231	-107.2619596
517789598	44.8029531	-106.9547597
517788630	44.7989611	-106.9386657
517788884	44.7752631	-106.9421497
517789416	44.7671131	-106.9587297
517791177	44.8330031	-107.0817897
517788894	44.7875531	-106.9458897
508042503	39.0417831	-95.6302033
517501463	42.8579333	-106.3248702
517790160	44.7992331	-106.9551297
517790047	44.7951831	-106.9542397
517789450	44.7983831	-106.9548097
517665928	44.3542381	-106.6879889
517789149	44.7821031	-106.9402897
517788580	44.6441691	-106.8899758
517667925	44.2901730	-105.4773302
517790033	44.8140231	-106.9559997
517789033	44.8102731	-106.9451197
517665891	44.3484621	-106.6991799
517665654	44.3569861	-106.6983989
517667694	44.2763720	-105.4938411
517791026	44.7282031	-107.0796897
517790488	44.9008404	-107.1488770
517791131	44.7965431	-106.9758697
517790004	44.8007531	-106.9505297
517788917	44.7797031	-106.9466297
515414717	29.9618148	-95.3753640
517789262	44.7990971	-106.9559107
517664861	44.3372691	-106.7556118
517789301	44.8161061	-106.9562347
517789106	44.7898131	-106.9464197
517790531	44.8728631	-107.2614396
517665633	44.3104891	-106.6942499
517790522	44.8691331	-107.2620396
517790139	44.7975531	-106.9599497
517790075	44.8050731	-106.9561397
517789874	44.7892131	-106.9493397
517789638	44.8080231	-106.9536297
517790173	44.8050631	-106.9513897
517791108	44.8122331	-106.9833797
517791172	44.6929931	-106.9708197
517788424	44.5666781	-106.5289039
517788968	44.7852431	-106.9418897
517666495	44.2465630	-105.5411901
517789115	44.7793631	-106.9466297
517790162	44.8133831	-106.9530497
517788966	44.7955031	-106.9283297
517790499	44.6806731	-106.9920597
517669038	44.0249731	-105.3250502
517790998	44.7853931	-106.9676797
517789479	44.8013231	-106.9562097
517789344	44.7941141	-106.9558297
517789988	44.7902031	-106.9486897
517789453	44.8023031	-106.9553197
517788863	44.7407031	-106.9445297
517788898	44.7839831	-106.9413997
517791159	44.8049231	-106.9734097
517789404	44.7899906	-106.9616073
517789971	44.7737931	-106.9638997
517789847	44.7988431	-106.9562297
517790973	44.7900231	-106.9995597
517791190	44.7934131	-106.9671197
517789123	44.7850931	-106.9462397
517790934	44.8023231	-106.9695097
517789571	44.8029831	-106.9541897
517790068	44.7978831	-106.9548197
517353365	40.7629490	-111.9000083
501656030	34.1293251	-118.0006888
517790031	44.7992231	-106.9574697
517790958	44.8044831	-106.9735597
517790394	44.7978281	-106.9749167
517789616	44.7994231	-106.9574597
517665612	44.3548031	-106.6989159
517790127	44.7992331	-106.9551297
517665566	44.3492641	-106.6991619
517789490	44.7975431	-106.9591397
517788757	44.6117831	-106.8584298
517500495	42.8566633	-106.3025302
517789066	44.7886731	-106.9419797
517789855	44.8063531	-106.9645097
517791193	44.8066631	-106.9767097
517788951	44.7889331	-106.9409197
515340908	29.8009648	-95.1173441
517789494	44.7960331	-106.9496697
517789257	44.8017711	-106.9510727
517788998	44.7883231	-106.9447697
517791107	44.8018831	-106.9776497
517790431	44.7947441	-106.9764627
517789878	44.8063231	-106.9606397
517789096	44.7812531	-106.9389597
517789458	44.7986331	-106.9574897
517791052	44.7587031	-107.0862997
517788583	44.7830691	-106.9406007
517501306	42.8494053	-106.3222622
517502640	42.8557033	-106.3325602
517788637	44.8347131	-106.8396397
517789911	44.7913431	-106.9582297
517789226	44.7944781	-106.9558207
517790927	44.7001331	-106.9774197
517501772	42.8484833	-106.3233002
517790871	44.8118531	-106.9827397
517791180	44.6937631	-106.9935697
517789663	44.7976231	-106.9652697
517790800	44.9085431	-107.1644697
517790943	44.7873031	-107.0083897
517788886	44.7676631	-106.9384397
517788774	44.6445831	-106.8201398
517788411	44.5338801	-106.8393368
517667444	44.2767030	-105.4961801
517791129	44.8069331	-106.9789197
517789879	44.8065731	-106.9547997
517789992	44.7067131	-106.9471897
517789550	44.7859531	-106.9591397
517789963	44.7113131	-106.9552197
517790879	44.7105731	-107.1211697
517664905	44.1471702	-106.7167239
517790521	44.8433331	-107.2821096
517790917	44.7905231	-107.0009097
517790824	44.7783531	-107.0171497
517790801	44.9005031	-107.1004997
517790519	44.8666731	-107.2665296
517789862	44.7989331	-106.9562297
517789797	44.7939131	-106.9535897
517789933	44.7671131	-106.9587297
517790963	44.8069931	-106.9690997
517789483	44.7848431	-106.9632697
517789554	44.7889531	-106.9540297
517789157	44.8071231	-106.9446997
517665926	44.3451271	-106.6991989
517664730	44.2924471	-106.7074989
509946384	45.7817731	-108.5059892
517789882	44.8032831	-106.9561697
517789746	44.7974931	-106.9549097
517790992	44.8057531	-106.9747797
517789730	44.7834131	-106.9616297
517788383	44.7285990	-106.1224919
501656118	34.1399651	-117.9995688
517789972	44.7886031	-106.9479697
517790009	44.7984131	-106.9514697
517788948	44.7947631	-106.9434697
517791151	44.7925831	-106.9842697
517788683	44.5687771	-106.9241858
517788885	44.7749531	-106.9432497
517790376	44.7124501	-106.9932367
515414436	29.9988988	-95.3819460
517665864	44.3587491	-106.6734219
517788849	44.8345731	-106.8637497
517791054	44.8055031	-106.9727497
517790863	44.8150231	-106.9839997
517789627	44.8150931	-106.9551297
517789762	44.8221631	-106.9565297
517665770	44.3511241	-106.7003709
