sp_id	sp_gq_id	age	sex
943199233	450025082	17	M
943199232	450025082	17	M
943199231	450025082	17	M
943199230	450025082	17	M
943199229	450025082	15	M
943199228	450025082	15	M
943199227	450025082	17	M
943199226	450025082	16	M
943199225	450025082	17	M
943199224	450025082	17	M
943199223	450025082	15	M
943199222	450025082	16	M
943199210	450025082	17	M
943199214	450025082	17	M
943199213	450025082	17	M
943199212	450025082	16	M
943199211	450025082	17	M
943199221	450025082	17	M
943199220	450025082	17	M
943199219	450025082	14	M
943199218	450025082	16	M
943199217	450025082	16	M
943199216	450025082	17	M
943199215	450025082	15	M
943199197	450025082	17	M
943199198	450025082	17	M
943199199	450025082	14	M
943199200	450025082	16	M
943199201	450025082	17	M
943199202	450025082	16	M
943199203	450025082	17	M
943199204	450025082	17	M
943199205	450025082	16	M
943199206	450025082	17	M
943199207	450025082	17	M
943199208	450025082	16	M
943199209	450025082	14	M
943199239	450025082	45	M
943199238	450025082	31	M
943199237	450025082	40	M
943199236	450025082	25	M
943199235	450025082	23	M
943199234	450025082	20	M
943199249	450025083	17	F
943199247	450025083	16	F
943199246	450025083	16	F
943199245	450025083	17	F
943199244	450025083	15	F
943199243	450025083	17	F
943199242	450025083	16	F
943199258	450025083	17	F
943199257	450025083	17	F
943199256	450025083	17	F
943199255	450025083	13	F
943199254	450025083	17	F
943199253	450025083	17	F
943199252	450025083	17	F
943199251	450025083	13	F
943199250	450025083	15	F
943199241	450025083	17	F
943199240	450025083	17	F
943199248	450025083	16	F
943199265	450025083	29	F
943199264	450025083	28	F
943199263	450025083	17	F
943199262	450025083	17	F
943199261	450025083	15	F
943199260	450025083	17	F
943199259	450025083	16	F
943199266	450025083	30	F
943199267	450025083	41	F
943199268	450025083	25	F
943199612	450007485	47	M
943199611	450007485	27	M
943199610	450007485	17	M
943199609	450007485	16	M
943199608	450007485	17	M
943199607	450007485	17	M
943199605	450007485	17	M
943199606	450007485	15	M
938942241	450000585	24	F
938941668	450000585	20	M
938942686	450000585	20	F
938942685	450000585	19	F
938942684	450000585	22	F
938942683	450000585	19	F
938942682	450000585	19	F
938942681	450000585	23	F
938942680	450000585	19	F
938942679	450000585	24	F
938942678	450000585	19	F
938942677	450000585	23	F
938942676	450000585	22	F
938942675	450000585	18	F
938942674	450000585	18	F
938942673	450000585	21	F
938942672	450000585	23	F
938942671	450000585	19	F
938942670	450000585	21	F
938942669	450000585	18	F
938942668	450000585	18	F
938942667	450000585	23	F
938942666	450000585	23	F
938942665	450000585	19	F
938942664	450000585	19	F
938942663	450000585	19	F
938942662	450000585	19	F
938942661	450000585	19	F
938942660	450000585	19	F
938942659	450000585	18	F
938942658	450000585	24	F
938942657	450000585	22	F
938942656	450000585	22	F
938942655	450000585	19	F
938942654	450000585	18	F
938942653	450000585	19	F
938942652	450000585	19	F
938942651	450000585	18	F
938942650	450000585	19	F
938942649	450000585	20	F
938942648	450000585	19	F
938942647	450000585	18	F
938942646	450000585	19	F
938942645	450000585	18	F
938942644	450000585	19	F
938942643	450000585	19	F
938942642	450000585	19	F
938942641	450000585	18	F
938942640	450000585	22	F
938942639	450000585	23	F
938942638	450000585	28	F
938942637	450000585	18	F
938942636	450000585	22	F
938942635	450000585	23	F
938942634	450000585	18	F
938942633	450000585	23	F
938942632	450000585	20	F
938942631	450000585	18	F
938942630	450000585	20	F
938942629	450000585	19	F
938942628	450000585	18	F
938942627	450000585	22	F
938942626	450000585	19	F
938942625	450000585	23	F
938942624	450000585	18	F
938942623	450000585	19	F
938942622	450000585	23	F
938942621	450000585	18	F
938942620	450000585	27	F
938942619	450000585	18	F
938942618	450000585	19	F
938942617	450000585	18	F
938942616	450000585	23	F
938942615	450000585	20	F
938942614	450000585	22	F
938942613	450000585	21	F
938942612	450000585	19	F
938942611	450000585	18	F
938942610	450000585	18	F
938942609	450000585	19	F
938942608	450000585	22	F
938942607	450000585	22	F
938942606	450000585	19	F
938942605	450000585	18	F
938942604	450000585	20	F
938942603	450000585	22	F
938942602	450000585	18	F
938942601	450000585	18	F
938942600	450000585	23	F
938942599	450000585	24	F
938942598	450000585	19	F
938942597	450000585	20	F
938942596	450000585	24	F
938942595	450000585	23	F
938942594	450000585	19	F
938942593	450000585	19	F
938942592	450000585	19	F
938942591	450000585	18	F
938942590	450000585	18	F
938942589	450000585	21	F
938942588	450000585	24	F
938942587	450000585	18	F
938942586	450000585	20	F
938942585	450000585	19	F
938942584	450000585	19	F
938942583	450000585	19	F
938942582	450000585	24	F
938942581	450000585	18	F
938942580	450000585	20	F
938942579	450000585	19	F
938942578	450000585	19	F
938942577	450000585	18	F
938942576	450000585	23	F
938942575	450000585	21	F
938942574	450000585	19	F
938942573	450000585	21	F
938942572	450000585	24	F
938942571	450000585	21	F
938942570	450000585	22	F
938942569	450000585	19	F
938942568	450000585	19	F
938942567	450000585	19	F
938942566	450000585	18	F
938942565	450000585	23	F
938942564	450000585	24	F
938942563	450000585	22	F
938942562	450000585	24	F
938942561	450000585	23	F
938942560	450000585	20	F
938942559	450000585	19	F
938942558	450000585	19	F
938942557	450000585	23	F
938942556	450000585	19	F
938942555	450000585	21	F
938942554	450000585	19	F
938942553	450000585	23	F
938942552	450000585	19	F
938942551	450000585	19	F
938942550	450000585	21	F
938942549	450000585	22	F
938942548	450000585	19	F
938942547	450000585	19	F
938942546	450000585	19	F
938942545	450000585	20	F
938942544	450000585	22	F
938942543	450000585	19	F
938942542	450000585	18	F
938942541	450000585	19	F
938942540	450000585	19	F
938942539	450000585	21	F
938942538	450000585	22	F
938942537	450000585	19	F
938942536	450000585	19	F
938942535	450000585	19	F
938942534	450000585	21	F
938942533	450000585	23	F
938942532	450000585	19	F
938942531	450000585	20	F
938942530	450000585	19	F
938942529	450000585	19	F
938942528	450000585	21	F
938942527	450000585	18	F
938942526	450000585	19	F
938942525	450000585	19	F
938942524	450000585	21	F
938942523	450000585	20	F
938942522	450000585	19	F
938942521	450000585	20	F
938942520	450000585	18	F
938942519	450000585	19	F
938942518	450000585	21	F
938942517	450000585	24	F
938942516	450000585	19	F
938942515	450000585	19	F
938942514	450000585	20	F
938942513	450000585	20	F
938942512	450000585	19	F
938942511	450000585	23	F
938942510	450000585	20	F
938942509	450000585	21	F
938942508	450000585	18	F
938942507	450000585	20	F
938942506	450000585	18	F
938942505	450000585	20	F
938942504	450000585	18	F
938942503	450000585	24	F
938942502	450000585	22	F
938942501	450000585	18	F
938942500	450000585	19	F
938942499	450000585	18	F
938942498	450000585	18	F
938942497	450000585	20	F
938942496	450000585	19	F
938942495	450000585	22	F
938942494	450000585	19	F
938942493	450000585	21	F
938942492	450000585	18	F
938942491	450000585	18	F
938942490	450000585	21	F
938942489	450000585	23	F
938942488	450000585	22	F
938942487	450000585	19	F
938942486	450000585	22	F
938942485	450000585	23	F
938942484	450000585	24	F
938942483	450000585	18	F
938942482	450000585	21	F
938942481	450000585	18	F
938942480	450000585	24	F
938942479	450000585	19	F
938942478	450000585	24	F
938942477	450000585	23	F
938942476	450000585	20	F
938942475	450000585	19	F
938942474	450000585	19	F
938942473	450000585	22	F
938942472	450000585	23	F
938942471	450000585	20	F
938942470	450000585	19	F
938942469	450000585	22	F
938942468	450000585	18	F
938942467	450000585	22	F
938942466	450000585	20	F
938942465	450000585	22	F
938942464	450000585	19	F
938942463	450000585	19	F
938942462	450000585	21	F
938942461	450000585	18	F
938942460	450000585	19	F
938942459	450000585	19	F
938942458	450000585	20	F
938942457	450000585	22	F
938942456	450000585	21	F
938942455	450000585	18	F
938942454	450000585	20	F
938942453	450000585	18	F
938942452	450000585	18	F
938942451	450000585	23	F
938942450	450000585	18	F
938942449	450000585	24	F
938942448	450000585	19	F
938942447	450000585	19	F
938942446	450000585	19	F
938942445	450000585	21	F
938942444	450000585	19	F
938942443	450000585	19	F
938942442	450000585	23	F
938942441	450000585	18	F
938942440	450000585	18	F
938942439	450000585	19	F
938942438	450000585	19	F
938942437	450000585	24	F
938942436	450000585	21	F
938942435	450000585	19	F
938942434	450000585	19	F
938942433	450000585	23	F
938942432	450000585	20	F
938942431	450000585	22	F
938942430	450000585	19	F
938942429	450000585	21	F
938942428	450000585	18	F
938942427	450000585	20	F
938942426	450000585	24	F
938942425	450000585	18	F
938942424	450000585	21	F
938942423	450000585	24	F
938942422	450000585	19	F
938942421	450000585	21	F
938942420	450000585	25	F
938942419	450000585	19	F
938942418	450000585	19	F
938942417	450000585	18	F
938942416	450000585	19	F
938942415	450000585	19	F
938942414	450000585	19	F
938942413	450000585	18	F
938942412	450000585	20	F
938942411	450000585	20	F
938942410	450000585	19	F
938942409	450000585	23	F
938942408	450000585	22	F
938942407	450000585	18	F
938942406	450000585	19	F
938942405	450000585	18	F
938942404	450000585	20	F
938942403	450000585	18	F
938942402	450000585	20	F
938942401	450000585	21	F
938942400	450000585	18	F
938942399	450000585	19	F
938942398	450000585	21	F
938942397	450000585	19	F
938942396	450000585	19	F
938942395	450000585	19	F
938942394	450000585	18	F
938942393	450000585	19	F
938942392	450000585	19	F
938942391	450000585	22	F
938942390	450000585	21	F
938942389	450000585	21	F
938942388	450000585	18	F
938942387	450000585	20	F
938942386	450000585	20	F
938942385	450000585	22	F
938942384	450000585	19	F
938942383	450000585	19	F
938942382	450000585	19	F
938942381	450000585	19	F
938942380	450000585	19	F
938942379	450000585	19	F
938942378	450000585	19	F
938942377	450000585	23	F
938942376	450000585	24	F
938942375	450000585	23	F
938942374	450000585	18	F
938942373	450000585	21	F
938942372	450000585	19	F
938942371	450000585	28	F
938942370	450000585	19	F
938942369	450000585	22	F
938942368	450000585	20	F
938942367	450000585	20	F
938942366	450000585	18	F
938942365	450000585	19	F
938942364	450000585	21	F
938942363	450000585	19	F
938942362	450000585	21	F
938942361	450000585	18	F
938942360	450000585	20	F
938942359	450000585	21	F
938942358	450000585	23	F
938942357	450000585	22	F
938942356	450000585	21	F
938942355	450000585	19	F
938942354	450000585	24	F
938942353	450000585	18	F
938942352	450000585	20	F
938942351	450000585	21	F
938942350	450000585	19	F
938942349	450000585	21	F
938942348	450000585	19	F
938942347	450000585	28	F
938942346	450000585	21	F
938942345	450000585	18	F
938942344	450000585	19	F
938942343	450000585	22	F
938942342	450000585	18	F
938942341	450000585	18	F
938942340	450000585	18	F
938942339	450000585	19	F
938942338	450000585	19	F
938942337	450000585	18	F
938942336	450000585	18	F
938942335	450000585	24	F
938942334	450000585	20	F
938942333	450000585	23	F
938942332	450000585	19	F
938942331	450000585	18	F
938942330	450000585	19	F
938942329	450000585	18	F
938942328	450000585	18	F
938942327	450000585	19	F
938942326	450000585	20	F
938942325	450000585	20	F
938942324	450000585	25	F
938942323	450000585	22	F
938942322	450000585	20	F
938942321	450000585	19	F
938942320	450000585	21	F
938942319	450000585	20	F
938942318	450000585	22	F
938942317	450000585	22	F
938942316	450000585	19	F
938942315	450000585	19	F
938942314	450000585	19	F
938942313	450000585	20	F
938942312	450000585	18	F
938942311	450000585	21	F
938942310	450000585	22	F
938942309	450000585	19	F
938942308	450000585	24	F
938942307	450000585	19	F
938942306	450000585	20	F
938942305	450000585	23	F
938942304	450000585	22	F
