sp_id	stco	latitude	longitude
450063656	49043	40.7199400	-111.2974300
450093638	56041	41.259726	-110.980784
450100353	56041	41.270639	-110.339165
450089058	56041	41.252918	-110.947576
450063600	25027	0.0000000	0.0000000
450098804	56041	41.327579	-110.292918
450100359	56041	41.274508	-110.331603
450091437	56041	41.266475	-110.972157
450093639	56041	41.260883	-110.961941
450096237	56041	41.257877	-110.983576
450075600	49043	40.6603100	-111.4985300
450101087	56041	41.271958	-110.958901
450098803	56041	41.332121	-110.272107
450094430	56013	42.997418	-108.85941
450067304	25025	0.0000000	0.0000000
450057833	56037	41.5848982	-109.2217265
450094427	56041	41.3229	-110.3883
450092323	56041	41.26135	-110.970725
450100364	56041	41.270587	-110.3401
450066968	23015	0.0000000	0.0000000
